Time,com.sun.xml.stream.buffer.stax.StreamReaderBufferProcessor$ElementStackEntry Data
0,160
1,160
2,144
3,192
4,176
5,112
6,160
7,96
8,160
9,176
10,96
11,144
12,176
13,160
14,160
15,176
16,256
17,192
18,80
19,240
20,80
21,80
22,192
23,192
24,176
25,192
26,128
27,192
28,272
29,128
30,192
31,160
32,96
33,256
34,208
35,112
36,208
37,144
38,224
39,160
40,256
41,144
42,224
43,208
44,80
45,128
46,192
47,256
48,288
49,128
50,144
51,144
52,160
53,176
54,144
55,112
56,320
57,256
58,176
59,160
60,304
61,240
62,128
63,160
64,128
65,192
66,128
67,240
68,144
69,240
70,368
71,208
72,288
73,288
74,128
75,352
76,224
77,352
78,192
79,176
80,272
81,384
82,208
83,352
84,320
85,112
86,224
87,352
88,160
89,304
90,272
91,416
92,128
93,368
94,224
95,384
96,160
97,224
98,384
99,144
100,192
101,352
102,112
103,160
104,128
105,176
106,320
107,448
108,128
109,256
110,240
111,352
112,80
113,128
114,192
115,208
116,320
117,384
118,384
119,80
120,128
121,176
122,256
123,128
124,160
125,192
126,240
127,160
128,272
129,240
130,272
131,320
132,336
133,144
134,176
135,224
136,144
137,144
138,192
139,128
140,144
141,112
142,448
