Time,[Lorg.codehaus.jackson.map.introspect.POJOPropertyBuilder$Node; Data
0,214
1,198
2,204
3,202
4,202
5,254
6,224
7,246
8,184
9,218
10,266
11,240
12,204
13,252
14,210
15,284
16,222
17,302
18,266
19,202
20,254
21,258
22,272
23,290
24,290
25,272
26,204
27,302
28,216
29,228
30,252
31,284
32,290
33,236
34,190
35,204
36,254
37,326
