Time,antlr.ANTLRHashString Data
0,28743
1,4690
2,35711
3,4690
4,38659
5,4690
6,42344
7,4690
8,46029
9,4690
10,48977
11,4690
12,52662
13,4690
14,56280
15,4690
16,44421
17,4690
18,48106
19,4690
20,51791
21,4690
22,54739
23,4690
24,58424
25,4690
26,62109
27,4690
28,65057
29,4690
30,68742
31,4690
32,72360
33,4690
34,75375
35,4690
36,79060
37,4690
38,82745
39,4690
40,52260
41,4690
42,55945
43,4690
44,59630
45,4690
46,62578
47,4690
48,66263
49,4690
50,69948
51,4690
52,73365
53,4690
54,76581
55,4690
56,80266
57,4690
58,83415
59,4690
60,84889
61,4690
62,88373
63,4690
64,50652
65,4690
66,54337
67,4690
68,57352
69,4690
70,60970
71,4690
72,64655
73,4690
74,68273
75,4690
76,71288
77,4690
78,74973
79,4690
80,78591
81,4690
82,81606
83,4690
84,85291
85,4690
86,88909
87,4690
88,52059
89,4690
90,55744
91,4690
92,59362
93,4690
94,62377
95,4690
96,66062
97,4690
98,69747
99,4690
100,72695
101,4690
102,76380
103,4690
104,80065
105,4690
106,83013
107,4690
108,86698
109,4690
110,90383
111,4690
112,51456
113,4690
114,55141
115,4690
116,58826
117,4690
118,61774
119,4690
120,65459
121,4690
122,69144
123,4690
124,72561
125,4690
126,75777
127,4690
128,79395
129,4690
130,82410
131,4690
132,86028
133,4690
134,89043
135,4690
136,52193
137,4690
138,55811
139,4690
140,58826
141,4690
142,62511
143,4690
144,66129
145,4690
146,69144
147,4690
148,50250
149,4690
150,53399
151,4690
152,56883
153,4690
154,60568
155,4690
156,64186
157,4690
158,67201
159,4690
160,70886
161,4690
162,74571
163,4690
164,77519
165,4690
166,81204
167,4690
168,84822
169,4690
170,87837
171,4690
172,50384
173,4690
174,54002
175,4690
176,57017
177,4690
178,60702
179,4690
180,64387
181,4690
182,67402
183,4690
184,71020
185,4690
186,74705
187,4690
188,77854
189,4690
190,81338
191,4690
192,85023
193,4690
194,88641
195,4690
196,51322
197,4690
198,55007
199,4690
200,58692
201,4690
202,61640
203,4690
204,65325
205,4690
206,68943
207,4690
208,71958
209,4690
210,75643
211,4690
212,79328
213,4690
214,82276
215,4690
216,85961
217,4690
218,89646
219,4690
220,50920
221,4690
222,54605
223,4690
224,58290
225,4690
226,61238
227,4690
228,64923
229,4690
230,68608
231,4690
232,72226
233,4690
234,75241
235,4690
236,78926
237,4690
238,82075
239,4690
240,85559
241,4690
242,89244
243,4690
244,51121
245,4690
246,54605
247,4690
248,58290
249,4690
250,61908
251,4690
252,64923
253,4690
254,68608
255,4690
256,72293
257,4690
258,75241
259,4690
260,78926
261,4690
262,82611
263,4690
264,85559
265,4690
266,89244
267,4690
268,51456
269,4690
270,55007
271,4690
272,58089
273,4690
274,61774
275,4690
276,65392
277,4690
278,68407
279,4690
280,72092
281,4690
282,75710
283,4690
284,78725
285,4690
286,82410
287,4690
288,85559
289,4690
290,89043
291,4690
292,52193
293,4690
294,55342
295,4690
296,58826
297,4690
298,62511
299,4690
300,66196
301,4690
302,69144
303,4690
304,72829
305,4690
306,76514
307,4690
308,79462
309,4690
310,83147
311,4690
312,86832
313,4690
314,89780
315,4690
316,51657
317,4690
318,55342
319,4690
320,58290
321,4690
322,61975
323,4690
324,65660
325,4690
326,68608
327,4690
328,72293
329,4690
330,75978
331,4690
332,79395
333,4690
334,82611
335,4690
336,86296
337,4690
338,89914
339,4690
340,51657
341,4690
342,55342
343,4690
344,58960
345,4690
346,61975
347,4690
348,65660
349,4690
350,69278
351,4690
352,72293
353,4690
354,75978
355,4690
356,79596
357,4690
358,82611
359,4690
360,86296
361,4690
362,89981
363,4690
364,51456
365,4690
366,55141
367,4690
368,58826
369,4690
370,61774
371,4690
372,65459
373,4690
374,69144
375,4690
376,72092
377,4690
378,75777
379,4690
380,79395
381,4690
382,82410
383,4690
384,86095
385,4690
386,89780
387,4690
388,51590
389,4690
390,55275
391,4690
392,58960
393,4690
394,61908
395,4690
396,65593
397,4690
398,69278
399,4690
400,72226
401,4690
402,75911
403,4690
404,79395
405,4690
406,82544
407,4690
408,86229
409,4690
410,89177
411,4690
