Time,sun.net.spi.DefaultProxySelector$2 Data
0,213
1,200
2,211
3,212
4,227
5,221
6,228
7,225
8,229
9,202
10,239
11,219
12,242
13,232
14,229
15,206
16,236
17,244
18,240
19,235
20,257
21,217
22,213
23,232
24,203
25,252
26,243
27,222
28,232
29,250
