Time,java.nio.HeapCharBuffer Data
0,963
1,50408
2,48277
3,26878
4,27042
5,23228
6,50369
7,50034
8,90
9,27032
10,26310
11,49414
12,23544
13,50034
14,49914
15,25980
16,50047
17,49701
18,395
19,26560
20,246
21,25096
22,50064
23,25411
24,50131
25,50991
26,50321
27,22839
28,763
29,1269
30,23534
31,50619
32,23403
33,1737
34,50341
35,50349
36,48215
37,49848
38,23543
39,414
40,51961
41,25187
42,2055
43,695
44,23687
45,324
46,51703
47,23599
48,52004
49,49964
50,218
51,46229
52,26306
53,49627
54,1002
55,51064
56,50292
57,2442
58,217
59,23092
60,73271
61,1994
62,25271
63,73414
64,26491
65,49565
66,9151
67,23148
68,50624
69,1729
70,23342
71,26998
72,76116
73,73532
74,1727
75,49573
76,25571
77,50443
78,76381
79,73930
80,424
81,26185
82,23453
83,49421
84,50078
85,25362
86,49626
87,50126
88,25259
89,49807
90,27396
91,24350
92,49108
93,26623
94,26097
95,354
96,77054
97,77032
98,50121
99,27266
100,27065
101,310
102,52631
103,76243
104,25138
105,47946
106,321
107,49873
108,49338
109,1911
110,50224
111,49558
112,1981
113,53610
114,49739
115,929
116,76473
117,25218
118,77611
119,75941
120,23412
121,52737
122,76832
123,49426
124,77400
125,50855
126,100154
127,50557
128,26396
129,50377
130,23504
131,52323
132,100349
133,73352
134,77324
135,24311
136,75068
137,26393
138,76065
139,100159
140,27297
141,100039
142,23531
143,50975
144,100582
145,25350
146,77491
147,26760
148,73471
149,100624
150,50183
151,73521
152,100616
153,27344
154,50500
155,100464
156,26873
157,49677
158,23102
159,27139
160,49850
161,99381
162,101018
163,425
164,49487
165,51170
166,73962
167,100280
168,1818
169,49015
170,23125
171,26613
172,51828
173,73383
174,76781
175,101761
176,100681
177,1859
178,26904
179,25392
180,50334
181,76227
182,23251
183,2251
184,27210
185,25486
186,50408
187,51832
188,50020
189,52072
190,76792
191,73776
192,76793
193,100347
194,25554
195,50199
196,50469
197,25573
198,50020
199,50415
200,49290
201,26922
202,23685
203,23802
204,25974
205,123791
