Time,[Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; Data
0,131
1,302
2,262
3,242
4,262
5,162
6,322
7,310
8,82
9,255
10,225
11,291
12,218
13,320
14,305
15,225
16,323
17,299
18,121
19,234
20,101
21,253
22,325
23,281
24,312
25,405
26,329
27,134
28,178
29,164
30,176
31,361
32,178
33,227
34,377
35,367
36,338
37,335
38,225
39,177
40,439
41,315
42,231
43,228
44,205
45,153
46,439
47,236
48,462
49,344
50,155
51,369
52,256
53,334
54,223
55,439
56,299
57,216
58,122
59,155
60,365
61,200
62,281
63,382
64,236
65,302
66,149
67,145
68,322
69,192
70,182
71,260
72,437
73,400
74,164
75,320
76,309
77,368
78,467
79,485
80,177
81,245
82,206
83,317
84,356
85,302
86,262
87,322
88,268
89,298
90,297
91,285
92,283
93,237
94,216
95,141
96,472
97,468
98,293
99,279
100,261
101,115
102,424
103,442
104,253
105,257
106,135
107,296
108,267
109,190
110,300
111,281
112,211
113,376
114,278
115,174
116,435
117,266
118,498
119,423
120,171
121,446
122,428
123,291
124,483
125,399
126,527
127,332
128,227
129,334
130,215
131,448
132,542
133,368
134,466
135,242
136,480
137,228
138,420
139,536
140,282
141,526
142,206
143,402
144,595
145,277
146,483
147,260
148,388
149,555
150,324
151,390
152,552
153,291
154,335
155,544
156,251
157,306
158,140
159,251
160,300
161,479
162,617
163,123
164,269
165,412
166,410
167,529
168,189
169,269
170,144
171,226
172,406
173,372
174,451
175,618
176,572
177,191
178,253
179,269
180,321
181,416
182,178
183,236
184,291
185,296
186,350
187,421
188,320
189,441
190,462
191,427
192,478
193,547
194,264
195,308
196,353
197,265
198,290
199,324
200,278
201,242
202,182
203,224
204,213
205,624
