Time,com.sun.org.apache.xml.internal.serializer.NamespaceMappings$MappingRecord Data
0,17505
1,17505
2,8991
3,8991
4,8514
5,17505
6,17505
7,8991
8,8991
9,17505
10,8514
11,17505
12,17505
13,8991
14,17505
15,17505
16,8991
17,8514
18,17505
19,8514
20,17505
21,17505
22,17505
23,8514
24,8514
25,17505
26,8514
27,17505
28,17505
29,16764
30,17505
31,8514
32,17505
33,8514
34,8514
35,17505
36,8514
37,17505
38,17505
39,15969
40,8991
41,17505
42,17505
43,17505
44,8514
45,26019
46,8514
47,26019
48,8991
49,17505
50,3036
51,8514
52,17505
53,8514
54,8991
55,26496
56,26019
57,17505
58,8514
59,17505
60,26496
61,26019
62,8991
63,8514
64,17505
65,17505
66,8514
67,17505
68,17505
69,8514
70,17505
71,8991
72,8514
73,17505
74,8991
75,8991
76,26496
77,26496
78,17505
79,8991
80,8991
81,17505
82,26496
83,8514
84,17505
85,17505
86,17505
87,17505
88,17505
89,18594
90,17505
91,26496
92,8514
93,26496
94,26496
95,8514
96,17505
97,26496
98,17505
99,26496
100,17505
101,35010
102,17505
103,8991
104,17505
105,8514
106,17505
107,35010
108,26019
109,26496
110,8514
111,26019
112,8991
113,26496
114,35010
115,8991
116,35010
117,8514
118,17505
119,35010
120,8514
121,26496
122,8991
123,26019
124,35010
125,17505
126,26019
127,35010
128,8991
129,17505
130,35010
131,8991
132,17505
133,8514
134,8991
135,17505
136,35010
137,35010
138,17505
139,17505
140,26019
141,35010
142,17505
143,8514
144,8991
145,17505
146,26019
147,26496
148,35010
149,35010
150,8991
151,8514
152,17505
153,26496
154,8514
155,8991
156,8514
157,17505
158,17505
159,17505
160,17505
161,26496
162,26019
163,26496
164,35010
165,8514
166,17505
167,17505
168,8514
169,17505
170,17505
171,17505
172,8991
173,8514
174,8514
175,8991
176,43524
