Time,com.sun.xml.bind.v2.model.impl.RuntimeClassInfoImpl Data
0,4398
1,532
2,96
3,9216
4,532
5,96
6,9216
7,532
8,96
9,9216
10,532
11,96
12,9216
13,532
14,96
15,9216
16,532
17,96
18,9216
19,532
20,96
21,9216
22,532
23,96
24,9216
25,532
26,96
27,28
28,9216
29,532
30,96
31,9216
32,532
33,96
34,9216
35,532
36,96
37,9216
38,532
39,96
40,9216
41,532
42,96
43,9216
44,532
45,96
46,9216
47,532
48,96
49,9216
50,532
51,96
52,9216
53,532
54,96
55,9216
56,532
57,96
58,9216
59,532
60,96
61,9216
62,532
63,96
64,9216
65,532
66,96
67,9216
68,532
69,96
70,9216
71,532
72,96
73,9216
74,532
75,96
76,9216
77,532
78,96
79,9216
80,532
81,96
82,9216
83,532
84,96
85,28
86,9216
87,532
88,96
89,9216
90,532
91,96
92,9216
93,532
94,96
95,9216
96,532
97,96
98,9216
99,532
100,96
101,9216
102,532
103,96
104,9216
105,532
106,96
107,9216
108,532
109,96
110,9216
111,532
112,96
113,9216
114,532
115,96
116,9216
117,532
118,96
119,9216
120,532
121,96
122,9216
123,532
124,96
125,9216
126,532
127,96
128,9216
129,532
130,96
131,9216
132,532
133,96
134,9216
135,532
136,96
137,9216
138,532
139,96
140,28
141,9216
142,532
143,96
144,9216
145,532
146,96
147,9216
148,532
149,96
150,9216
151,532
152,96
153,9216
154,532
155,96
156,28
157,9216
158,532
159,96
160,9216
161,532
162,96
163,9216
164,532
165,96
166,9216
167,532
168,96
169,9216
170,532
171,96
172,9216
173,532
174,96
175,9216
176,532
177,96
178,9216
179,532
180,96
181,28
182,9216
183,532
184,96
185,9216
186,532
187,96
188,9216
189,532
190,96
191,9216
192,532
193,96
194,9216
195,532
196,96
197,9216
198,532
199,96
200,9216
201,532
202,96
203,9216
204,532
205,96
206,9216
207,532
208,96
209,9216
210,532
211,96
212,9216
213,532
214,96
215,9216
216,532
217,96
218,9216
219,532
220,96
221,9216
222,532
223,96
224,9216
225,532
226,96
227,9216
228,532
229,96
230,9216
231,532
232,96
233,9216
234,532
235,96
236,9216
237,532
238,96
239,9216
240,532
241,96
242,9216
243,532
244,96
245,9216
246,532
247,96
248,9216
249,532
250,96
251,9216
252,532
253,96
254,9216
255,532
256,96
257,9216
258,532
259,96
260,9216
261,532
262,96
263,9216
264,532
265,96
266,9216
267,532
268,96
269,9216
270,532
271,96
272,9216
273,532
274,96
275,9216
276,532
277,96
278,9216
279,532
280,96
281,9216
282,532
283,96
284,9216
285,532
286,96
287,9216
288,532
289,96
290,9216
291,532
292,96
293,9216
294,532
295,96
296,9216
297,532
298,96
299,9216
300,532
301,96
302,9216
303,532
304,96
305,9216
306,532
307,96
308,9216
309,532
310,96
311,28
312,9216
313,532
314,96
315,9216
316,532
317,96
318,9216
319,532
320,96
321,9216
322,532
323,96
324,9216
325,532
326,96
327,28
328,9216
329,532
330,96
331,9216
332,532
333,96
334,9216
335,532
336,96
337,9216
338,532
339,96
340,9216
341,532
342,96
343,9216
344,532
345,96
346,9216
347,532
348,96
349,9216
350,532
351,96
352,9216
353,532
354,96
355,9216
356,532
357,96
358,9216
359,532
360,96
361,9216
362,532
363,96
364,9216
365,532
366,96
367,9216
368,532
369,96
370,9216
371,532
372,96
373,9216
374,532
375,96
376,9216
377,532
378,96
379,9216
380,532
381,96
382,9216
383,532
384,96
385,9216
386,532
387,96
388,9216
389,532
390,96
391,9216
392,532
393,96
394,9216
395,532
396,96
397,9216
398,532
399,96
400,9216
401,532
402,96
403,9216
404,532
405,96
406,9216
407,532
408,96
409,9216
410,532
411,96
412,9216
413,532
414,96
415,9216
416,532
417,96
418,9216
419,532
420,96
421,9216
422,532
423,96
424,9216
425,532
426,96
427,9216
428,532
429,96
430,9216
431,532
432,96
433,9216
434,532
435,96
436,9216
437,532
438,96
439,9216
440,532
441,96
442,9216
443,532
444,96
445,9216
446,532
447,96
448,9216
449,532
450,96
451,9216
452,532
453,96
454,9216
455,532
456,96
457,9216
458,532
459,96
460,9216
461,532
462,96
463,9216
464,532
465,96
466,9216
467,532
468,96
469,9216
470,532
471,96
472,9216
473,532
474,96
475,9216
476,532
477,96
478,9216
479,532
480,96
481,9216
482,532
483,96
484,28
485,9216
486,532
487,96
488,9216
489,532
490,96
491,9216
492,532
493,96
494,9216
495,532
496,9216
497,532
498,96
499,9216
500,532
501,96
502,9216
503,532
504,96
505,9216
506,532
507,96
508,9216
509,532
510,96
511,9216
512,532
513,96
514,9216
515,532
516,96
517,9216
518,532
519,96
520,9216
521,532
522,96
523,9216
524,532
525,96
526,9216
527,532
528,96
529,9216
530,532
531,96
532,9216
533,532
534,9216
535,532
536,96
537,9216
538,532
539,96
540,9216
541,532
542,96
543,9216
544,532
545,96
546,9216
547,532
548,96
549,9216
550,532
551,96
552,9216
553,532
554,96
555,9216
556,532
557,96
558,9216
559,532
560,96
561,9216
562,532
563,96
564,9216
565,532
566,96
567,9216
568,532
569,96
570,9216
571,532
572,96
573,9216
574,532
575,96
576,9216
577,532
578,96
579,9216
580,532
581,96
582,9216
583,532
584,96
585,9216
586,532
587,96
588,9216
589,532
590,96
591,9216
592,532
593,96
594,9216
595,532
596,96
597,9216
598,532
599,96
600,9216
601,532
602,96
603,9216
604,532
605,96
606,9216
607,532
608,96
609,9216
610,532
611,96
612,9216
613,532
614,96
615,9216
616,532
617,96
618,9216
619,532
620,96
621,9216
622,532
