Time,java.util.concurrent.SynchronousQueue$TransferStack$SNode Data
0,137
1,688
2,471
3,552
4,582
5,138
6,743
7,697
8,602
9,475
10,582
11,177
12,702
13,708
14,373
15,716
16,692
17,500
18,428
19,709
20,488
21,732
22,841
23,769
24,187
25,186
26,844
27,196
28,229
29,781
30,765
31,692
32,690
33,198
34,1006
35,511
36,255
37,117
38,236
39,936
40,180
41,984
42,697
43,740
44,442
45,657
46,834
47,778
48,331
49,132
50,873
51,298
52,469
53,938
54,533
55,685
56,203
57,151
58,797
59,220
60,179
61,576
62,1113
63,941
64,193
65,621
66,484
67,785
68,1196
69,998
70,428
71,188
72,552
73,707
74,441
75,656
76,730
77,444
78,690
79,633
80,300
81,509
82,468
83,466
84,1310
85,1288
86,753
87,629
88,586
89,1084
90,1202
91,435
92,407
93,706
94,615
95,242
96,780
97,657
98,287
99,899
100,668
101,1251
102,443
103,1379
104,1096
105,191
106,1119
107,1293
108,568
109,1353
110,847
111,1470
112,791
113,457
114,770
115,188
116,1071
117,1515
118,873
119,1365
120,323
121,1165
122,471
123,1177
124,1444
125,616
126,1443
127,219
128,830
129,1536
130,462
131,1402
132,549
133,902
134,1513
135,701
136,912
137,1511
138,610
139,787
140,1504
141,502
142,683
143,97
144,573
145,705
146,1284
147,1591
148,615
149,886
150,979
151,1447
152,208
153,579
154,100
155,493
156,971
157,884
158,1258
159,1690
160,1572
161,207
162,545
163,485
164,732
165,1101
166,116
167,306
168,597
169,479
170,769
171,964
172,708
173,983
174,1257
175,975
176,1262
177,1444
178,478
179,737
180,789
181,491
182,694
183,771
184,539
185,531
186,215
187,221
188,338
189,1723
