Time,sun.security.provider.MD5 Data
0,96
1,98
2,97
3,97
4,96
5,96
6,97
7,93
8,97
9,97
10,96
11,97
12,97
13,98
14,97
15,101
16,174
17,174
18,91
19,99
20,101
21,97
22,96
23,174
24,97
25,94
26,97
27,98
28,98
29,176
30,98
31,98
32,98
33,97
34,98
35,96
36,99
37,96
38,97
39,99
40,98
41,97
42,96
43,98
44,96
45,97
46,97
47,97
48,176
49,175
50,98
51,97
52,96
53,176
54,97
55,97
56,97
57,97
58,97
59,97
60,97
61,97
62,174
63,97
64,176
65,175
66,97
67,176
68,174
69,176
70,97
71,175
72,176
73,175
74,96
75,174
76,98
77,175
78,168
79,97
80,175
81,179
82,97
83,175
84,97
85,98
86,176
87,84
88,97
89,177
90,175
91,175
92,177
93,96
94,174
95,177
96,176
97,96
98,98
99,97
100,96
101,98
102,98
103,99
104,176
105,176
106,97
107,97
108,100
109,97
110,97
111,97
112,96
113,176
