Time,org.postgresql.core.Field Data
0,1558
1,1070
2,4797
3,1070
4,2488
5,1071
6,4524
7,1070
8,4460
9,1070
10,1258
11,5312
12,1070
13,4567
14,1070
15,479
16,4475
17,1068
18,4027
19,3733
20,1709
21,1006
22,4474
23,1070
24,4831
25,1070
26,1674
27,4280
28,1070
29,4448
30,1250
31,3795
32,1070
33,724
34,2064
35,1068
36,4518
37,1070
38,2594
39,1070
40,4731
41,1070
42,5549
43,2132
44,4596
45,2132
46,748
47,1649
48,998
49,882
50,1089
51,5132
52,1071
53,1287
54,1574
55,4522
56,1070
57,4946
58,1084
59,4752
60,1072
61,4158
62,1071
63,1572
64,1362
65,5380
66,2133
67,2075
68,1071
69,2653
70,1403
71,211
72,1602
73,1141
74,4964
75,1070
76,1399
77,1053
78,5351
79,1070
80,4334
81,1071
82,885
83,5364
84,1071
85,3298
86,4158
87,1620
88,1071
89,6149
90,2133
91,4745
92,1077
93,3236
94,1069
95,806
96,1141
97,5084
98,1071
99,1659
100,1081
101,2338
102,1081
103,5560
104,1071
105,3331
106,1079
107,3872
108,888
109,1130
110,5096
111,1077
112,1234
113,1079
114,1181
115,4585
116,1079
117,6718
118,1081
119,5326
120,1071
121,1284
122,3966
123,3572
124,1080
125,4971
126,1082
127,7787
128,1082
129,5974
130,1072
131,1275
132,2917
133,1152
134,2863
135,1080
136,4415
137,1080
138,2424
139,1072
140,3898
141,142
142,4508
143,1085
144,2758
145,4122
146,1087
147,4702
148,1087
149,2726
150,439
151,2531
152,3501
153,1087
154,3548
155,970
156,7821
157,2161
158,7448
159,2151
160,4232
161,1075
162,4862
163,1078
164,4044
165,1078
166,880
167,7313
168,2142
169,6739
170,1080
171,2949
172,1816
173,1078
174,1177
175,4331
176,1078
177,3801
178,1639
179,1078
180,4250
181,1075
182,3868
183,1078
184,1625
185,1070
186,4998
187,1080
188,3744
189,1078
190,1762
191,1070
192,7630
193,2150
194,2000
195,1078
196,8839
197,2142
198,5110
199,1078
200,1355
201,7255
202,2140
203,8114
204,1075
205,2381
206,1078
207,8495
208,2140
209,5779
210,2140
211,8291
212,2152
213,5014
214,1070
215,3417
216,4944
217,1078
218,1587
219,6104
220,2140
221,8026
222,2142
223,4995
224,1070
225,8245
226,2137
227,2343
228,1070
229,6215
230,1080
231,3617
232,7288
233,1018
234,8933
235,2140
236,4424
237,1070
238,7987
239,2140
240,1794
241,5519
242,2037
243,8972
244,1390
245,2175
246,1070
247,8386
248,2147
249,4167
250,5095
251,1080
252,9021
253,2150
254,4584
255,1080
256,5574
257,1080
258,8889
259,2150
260,4403
261,1080
262,5088
263,1080
264,8713
265,2150
266,4435
267,929
268,3610
269,906
270,4224
271,1070
272,4631
273,7574
274,1079
275,9417
276,2142
277,1064
278,3741
279,5319
280,2140
281,4994
282,2152
283,8669
284,2142
285,1513
286,3869
287,1070
288,668
289,4228
290,5007
291,2141
292,4762
293,1079
294,8333
295,1071
296,8580
297,2143
298,8686
299,2145
300,1539
301,3643
302,1079
303,3069
304,4657
305,1081
306,6864
307,1081
308,1324
309,2032
310,1079
311,4579
312,1079
313,2651
314,1081
315,4590
316,1091
317,5617
318,1081
319,5068
320,1081
321,5669
322,1081
323,8199
324,2143
325,5551
326,1071
327,7938
328,1081
329,8622
330,2143
331,3457
332,1077
333,4736
334,1079
335,5352
336,1081
337,3030
338,1079
339,4518
340,1079
341,4857
342,1079
343,3111
344,4380
345,319
346,1636
347,1079
348,1925
349,1746
350,9571
351,2143
