Time,com.sun.xml.stream.XMLNSDocumentScannerImpl Data
0,13
1,9
2,15
3,16
4,16
5,17
6,17
7,17
8,17
9,18
10,18
11,9
12,14
13,15
14,15
15,15
16,10
17,14
18,15
19,16
20,17
21,18
22,17
23,13
24,16
25,15
26,17
27,17
28,17
29,14
30,13
31,14
32,15
33,16
34,15
35,16
36,15
37,15
38,12
39,13
40,10
41,14
42,14
43,14
44,15
45,16
46,16
47,14
48,16
49,16
50,16
51,15
52,15
53,15
54,16
55,16
56,15
57,17
58,17
59,14
60,16
61,16
62,16
63,15
64,16
65,16
66,15
67,15
68,16
69,15
70,11
71,15
72,16
73,16
74,11
75,16
76,15
77,16
78,12
79,14
80,16
81,16
82,15
83,16
84,16
