Time,org.apache.hadoop.hdfs.DistributedFileSystem Data
0,99
1,97
2,99
3,90
4,98
5,100
6,112
7,103
8,104
9,96
10,110
11,114
12,95
13,97
14,87
15,102
16,116
17,123
18,90
19,103
20,131
21,124
22,83
23,105
24,157
25,129
26,97
27,87
28,99
29,170
30,173
31,99
32,161
33,82
34,101
35,115
36,163
37,183
38,135
39,128
40,170
41,178
42,188
43,107
44,103
45,124
46,194
47,116
48,178
49,135
50,156
51,190
52,191
53,201
54,181
55,81
56,120
57,198
58,97
59,121
60,198
61,106
62,197
63,90
64,92
65,151
66,205
67,82
68,116
69,127
70,190
71,89
72,117
73,164
74,204
75,204
76,100
77,131
78,104
79,112
80,96
81,114
82,164
83,127
84,165
85,191
86,101
87,107
88,95
89,105
90,222
