Time,sun.misc.CompoundEnumeration Data
0,316
1,280
2,324
3,344
4,316
5,268
6,308
7,312
8,364
9,328
10,348
11,348
12,332
13,276
14,384
15,312
16,372
17,360
18,320
19,400
