Time,java.util.HashMap Data
0,75816
1,130688
2,126621
3,127507
4,128368
5,116608
6,136290
7,134918
8,108978
9,129075
10,123340
11,129112
12,121762
13,135564
14,136762
15,123529
16,137760
17,136109
18,119639
19,133966
20,112224
21,125370
22,135637
23,128664
24,137965
25,145169
26,143917
27,120424
28,123196
29,120175
30,126391
31,146008
32,118703
33,117016
34,137903
35,139115
36,138634
37,138261
38,125169
39,120324
40,148962
41,132521
42,127777
43,125569
44,121122
45,116169
46,141185
47,125665
48,144841
49,138923
50,119191
51,143085
52,132047
53,139245
54,129811
55,152955
56,137284
57,126863
58,116750
59,120710
60,145474
61,125372
62,132577
63,148958
64,135450
65,139210
66,124129
67,127756
68,140847
69,122601
70,123271
71,136375
72,152144
73,149289
74,118354
75,133080
76,133974
77,142565
78,153363
79,152115
80,122078
81,131858
82,128636
83,141450
84,145166
85,138054
86,133108
87,139708
88,130348
89,140097
90,139077
91,131693
92,135800
93,137496
94,133523
95,124726
96,165318
97,165166
98,139060
99,136707
100,136311
101,120765
102,155669
103,154567
104,133824
105,136941
106,125124
107,146015
108,141437
109,132573
110,140367
111,138659
112,126578
113,146531
114,142238
115,128572
116,160964
117,136544
118,167891
119,155539
120,132407
121,162894
122,154430
123,137460
124,162583
125,150706
126,168468
127,148314
128,136067
129,148708
130,132598
131,157456
132,174188
133,155895
134,160645
135,133831
136,153868
137,134247
138,155914
139,168690
140,143390
141,169671
142,133319
143,155029
144,172757
145,142127
146,162815
147,134840
148,151366
149,171135
150,146650
151,153984
152,173375
153,145738
154,152039
155,175162
156,144071
157,147750
158,125614
159,140493
160,142842
161,163056
162,174869
163,127226
164,143601
165,157980
166,162210
167,174616
168,133242
169,150987
170,126433
171,137213
172,153347
173,153095
174,163165
175,174874
176,175733
177,132083
178,145294
179,142925
180,153737
181,164649
182,128167
183,132677
184,143024
185,139788
186,150593
187,153511
188,151246
189,156794
190,168776
191,161692
192,168247
193,178298
194,140616
195,147618
196,150415
197,143162
198,148937
199,152343
200,144492
201,144197
202,139994
203,139194
204,139639
205,185648
