Time,com.dataguise.hadoop.metadata.SensitiveCols Data
0,72
1,108
2,108
3,72
4,192
5,192
6,72
7,72
8,108
9,108
10,204
11,162
12,210
13,78
14,126
15,120
16,240
17,156
18,72
19,204
20,72
21,240
22,192
23,204
24,240
25,204
26,240
27,240
28,240
29,156
30,240
31,240
32,240
33,156
34,72
35,156
36,204
37,240
38,108
39,72
40,156
41,204
42,276
43,240
44,108
45,156
46,204
47,192
48,192
49,204
50,240
51,156
