Time,com.sun.org.apache.xerces.internal.util.XMLAttributesIteratorImpl Data
0,139
1,213
2,224
3,176
4,182
5,63
6,273
7,225
8,219
9,77
10,192
11,99
12,213
13,261
14,131
15,237
16,222
17,62
18,140
19,62
20,212
21,225
22,265
23,254
24,345
25,318
26,62
27,58
28,152
29,357
30,123
31,91
32,298
33,285
34,248
35,209
36,123
37,386
38,216
39,106
40,95
41,159
42,321
43,99
44,357
45,201
46,296
47,71
48,192
49,131
50,352
51,309
52,187
53,51
54,310
55,151
56,240
57,380
58,152
59,204
60,63
61,321
62,97
63,97
64,186
65,318
66,370
67,86
68,144
69,236
70,308
71,330
72,430
73,50
74,71
75,107
76,225
77,225
78,240
79,180
80,249
81,215
82,237
83,236
84,207
85,168
86,152
87,50
88,447
89,411
90,273
91,224
92,179
93,470
94,366
95,203
96,136
97,261
98,156
99,117
100,297
101,213
102,131
103,369
104,225
105,113
106,376
107,217
108,495
109,354
110,111
111,458
112,426
113,249
114,471
115,366
116,532
117,321
118,83
119,279
120,111
121,402
122,568
123,310
124,495
125,228
126,453
127,95
128,330
129,463
130,212
131,472
132,132
133,345
134,559
135,240
136,507
137,138
138,334
139,544
140,213
141,346
142,544
143,212
144,309
145,532
146,107
147,204
148,175
149,211
150,427
151,592
152,50
153,156
154,390
155,403
156,463
157,74
158,177
159,119
160,354
161,322
162,383
163,568
164,578
165,74
166,152
167,179
168,249
169,329
170,63
171,158
172,197
173,264
174,281
175,333
176,261
177,357
178,411
179,406
180,402
181,472
182,248
183,259
184,294
185,260
186,225
187,285
188,204
189,143
190,132
191,135
192,95
193,641
