Time,[Ljava.util.Hashtable$Entry; Data
0,3557
1,4450
2,4523
3,4522
4,4606
5,4060
6,4943
7,4933
8,3771
9,4655
10,4121
11,4396
12,4683
13,5003
14,5143
15,4604
16,5269
17,4912
18,4681
19,5335
20,4252
21,5042
22,5195
23,5309
24,5387
25,6076
26,6057
27,4781
28,5348
29,5007
30,5225
31,6079
32,4687
33,4775
34,5636
35,5694
36,5703
37,5689
38,5216
39,5166
40,6659
41,6031
42,5530
43,5684
44,5126
45,5002
46,6061
47,5699
48,6292
49,6079
50,5395
51,6381
52,5702
53,5986
54,6346
55,7254
56,6090
57,5977
58,5369
59,5512
60,6474
61,6240
62,6505
63,6804
64,6493
65,6291
66,6016
67,6130
68,6486
69,6166
70,5829
71,6510
72,6869
73,6991
74,5796
75,6050
76,6673
77,6877
78,7058
79,7299
80,6258
81,6405
82,6490
83,7220
84,7314
85,7398
86,6351
87,6919
88,6553
89,7077
90,7161
91,6955
92,6813
93,7251
94,6789
95,6802
96,8446
97,8443
98,7204
99,7240
100,7244
101,6633
102,8321
103,7853
104,7196
105,7591
106,7041
107,7934
108,7455
109,7836
110,7569
111,7542
112,7469
113,7988
114,7806
115,7698
116,8662
117,8030
118,9035
119,8459
120,7649
121,9196
122,8165
123,7942
124,8851
125,8748
126,9124
127,8390
128,7693
129,8477
130,7888
131,9305
132,9669
133,8882
134,9035
135,8219
136,8757
137,7805
138,8703
139,9426
140,8632
141,9610
142,8231
143,9503
144,9753
145,9069
146,9412
147,8043
148,8887
149,9785
150,8844
151,9150
152,10003
153,9066
154,9290
155,10209
156,9048
157,8983
158,8073
159,8823
160,8593
161,9490
162,10299
163,8503
164,8820
165,10116
166,10218
167,10436
168,8989
169,9656
170,8413
171,8681
172,9982
173,9600
174,9815
175,10657
176,10716
177,9091
178,9687
179,9433
180,10049
181,10306
182,8831
183,9476
184,9640
185,9839
186,9961
187,10166
188,10073
189,10371
190,10936
191,10581
192,10697
193,11305
194,9869
195,9978
196,10164
197,10136
198,10159
199,10356
200,9918
201,9989
202,10315
203,10026
204,10036
205,11909
