Time,[Lcom.sun.xml.bind.v2.runtime.output.Encoded; Data
0,4
1,3
2,3
3,2
4,8
5,8
6,5
7,2
8,4
9,2
10,2
11,2
12,7
13,2
14,2
15,2
16,7
17,7
18,2
19,7
20,2
21,7
22,2
23,5
24,2
25,7
26,3
27,2
28,10
29,3
30,2
31,7
32,3
33,2
34,2
35,2
36,3
37,2
38,2
39,2
40,3
41,2
42,4
43,2
44,7
45,2
46,5
47,2
48,5
49,2
50,3
51,2
52,3
53,2
54,4
55,2
56,7
57,5
58,2
59,7
60,2
61,7
62,2
63,2
64,4
65,2
66,7
67,2
68,3
69,2
70,7
71,2
72,4
73,2
74,9
75,7
