Time,org.apache.commons.collections.map.AbstractLinkedMap$LinkEntry Data
0,130
1,132
2,132
3,132
4,132
5,72
6,132
7,72
8,132
9,132
10,132
11,132
12,132
13,132
14,132
15,132
16,132
17,132
18,72
19,132
20,132
21,72
22,132
23,132
24,132
25,132
26,132
27,72
28,132
29,132
30,72
31,132
32,132
33,132
34,132
35,132
36,132
37,132
38,72
39,132
40,132
41,132
42,132
43,132
44,72
45,132
46,132
47,132
48,72
49,132
50,132
51,132
52,132
53,132
54,132
55,72
56,132
57,72
58,132
59,132
60,132
61,132
62,132
63,72
64,132
65,72
66,132
67,132
68,72
69,132
70,132
71,132
72,132
73,132
74,72
75,132
76,132
77,132
78,132
79,132
80,132
81,132
82,132
83,132
84,132
85,132
86,132
87,132
88,132
89,132
90,72
91,132
92,132
93,132
94,132
95,72
96,132
97,132
98,132
99,72
100,132
101,132
102,132
103,132
104,132
105,132
106,132
107,132
108,132
109,132
110,132
111,132
112,132
113,132
114,132
115,132
116,132
117,132
118,132
119,132
120,132
121,132
122,132
123,132
124,72
125,132
126,132
127,132
128,72
129,132
130,132
131,132
132,132
133,72
134,132
135,132
136,132
137,132
138,132
139,72
140,132
141,132
142,132
143,132
144,132
145,132
146,132
147,132
148,132
149,132
150,132
151,132
