Time,com.sun.org.apache.xerces.internal.dom.NodeListCache Data
0,164
1,256
2,276
3,208
4,218
5,336
6,272
7,266
8,232
9,112
10,256
11,320
12,152
13,288
14,274
15,160
16,256
17,272
18,332
19,312
20,432
21,392
22,186
23,448
24,144
25,102
26,368
27,352
28,304
29,252
30,144
31,480
32,264
33,120
34,104
35,192
36,400
37,112
38,448
39,240
40,368
41,232
42,152
43,438
44,384
45,224
46,384
47,176
48,296
49,478
50,176
51,248
52,400
53,110
54,222
55,392
56,464
57,96
58,168
59,288
60,384
61,408
62,544
63,124
64,272
65,272
66,296
67,216
68,304
69,264
70,288
71,288
72,256
73,200
74,176
75,560
76,512
77,336
78,272
79,214
80,592
81,456
82,248
83,158
84,320
85,184
86,134
87,368
88,256
89,152
90,464
91,272
92,130
93,466
94,266
95,624
96,440
97,128
98,576
99,536
100,304
101,592
102,456
103,672
104,400
105,346
106,128
107,504
108,720
109,384
110,624
111,280
112,576
113,408
114,584
115,256
116,592
117,158
118,432
119,712
120,296
121,640
122,162
123,416
124,688
125,256
126,432
127,688
128,256
129,384
130,672
131,248
132,208
133,260
134,536
135,752
136,184
137,488
138,504
139,584
140,208
141,136
142,440
143,400
144,482
145,720
146,734
147,176
148,216
149,304
150,408
151,186
152,238
153,328
154,348
155,416
156,320
157,448
158,512
159,512
160,504
161,592
162,304
163,318
164,366
165,320
166,272
167,352
168,248
169,168
170,152
171,160
172,816
