Time,java.util.Properties Data
0,1087
1,1203
2,1248
3,1247
4,1277
5,994
6,1391
7,1391
8,997
9,1403
10,1133
11,1227
12,1417
13,1527
14,1572
15,1295
16,1621
17,1405
18,1313
19,1641
20,1357
21,1732
22,1789
23,1827
24,1854
25,2187
26,2175
27,1554
28,1842
29,1633
30,1707
31,2090
32,1730
33,1773
34,2168
35,2183
36,2187
37,2182
38,1922
39,1904
40,2608
41,2299
42,2033
43,2106
44,2097
45,2060
46,2530
47,2400
48,2605
49,2535
50,2199
51,2637
52,2314
53,2413
54,2622
55,3035
56,2741
57,2702
58,2403
59,2458
60,2884
61,2800
62,2891
63,2995
64,2895
65,2735
66,2642
67,2671
68,3095
69,2996
70,2785
71,3115
72,3249
73,3280
74,2885
75,2994
76,3291
77,3360
78,3438
79,3512
80,3058
81,3118
82,3137
83,3489
84,3523
85,3544
86,3313
87,3592
88,3373
89,3650
90,3674
91,3553
92,3470
93,3707
94,3466
95,3459
96,4219
97,4220
98,3899
99,3914
100,3919
101,3609
102,4376
103,4137
104,3810
105,4046
106,3753
107,4158
108,3907
109,4121
110,4245
111,4244
112,4215
113,4398
114,4334
115,4294
116,4726
117,4413
118,4852
119,4572
120,4186
121,4908
122,4677
123,4601
124,5005
125,4974
126,5106
127,4751
128,4430
129,4786
130,4496
131,5175
132,5298
133,4934
134,5286
135,4910
136,5111
137,4688
138,5088
139,5432
140,5060
141,5500
142,4831
143,5458
144,5495
145,5216
146,5634
147,4990
148,5370
149,5773
150,5357
151,5462
152,5849
153,5432
154,5506
155,5923
156,5418
157,5319
158,5216
159,5563
160,5400
161,5805
162,6176
163,5359
164,5479
165,6103
166,6141
167,6223
168,5533
169,5861
170,5554
171,5645
172,6282
173,6058
174,6136
175,6524
176,6538
177,5787
178,6088
179,5911
180,6213
181,6312
182,5918
183,6228
184,6291
185,6356
186,6402
187,6475
188,6437
189,6545
190,6835
191,6616
192,6662
193,6967
194,6583
195,6626
196,6690
197,6679
198,6685
199,6753
200,6516
201,6564
202,6739
203,6553
204,6558
205,7392
