Time,org.hibernate.proxy.pojo.javassist.JavassistLazyInitializer Data
0,156
1,156
2,156
3,156
4,156
5,156
6,156
7,156
8,156
9,156
10,156
11,156
12,156
13,156
14,156
15,156
16,156
17,312
18,312
19,154
20,156
21,156
22,156
23,156
24,156
25,312
26,156
27,156
28,156
29,156
30,98
31,156
32,156
33,156
34,312
35,105
36,156
37,156
38,156
39,156
40,156
41,156
42,156
43,156
44,91
45,156
46,156
47,156
48,156
49,156
50,156
51,156
52,102
53,156
54,101
55,156
56,156
57,156
58,160
59,160
60,160
61,70
62,160
63,316
64,126
65,316
66,124
67,156
68,156
69,156
70,312
71,119
72,156
73,156
74,156
75,156
76,156
77,156
78,156
79,156
80,156
81,156
82,312
83,120
84,156
85,312
86,148
87,156
88,312
89,118
90,156
91,119
92,156
93,312
94,145
95,312
96,312
97,134
98,156
99,156
100,312
101,105
102,312
103,137
104,156
105,312
106,143
107,156
108,156
109,104
110,148
111,97
112,312
113,146
114,156
115,312
116,129
117,304
118,102
119,208
120,145
121,156
122,312
123,146
124,156
125,312
126,151
127,156
128,156
129,312
130,151
131,156
132,156
133,312
134,147
135,140
136,156
137,156
138,114
139,312
140,168
141,312
142,106
143,312
144,312
145,147
146,156
147,312
148,156
149,156
150,130
151,312
152,151
153,312
154,154
155,156
156,156
157,156
158,95
159,156
160,156
161,156
162,156
163,156
164,156
165,156
166,97
167,312
168,117
169,156
170,98
171,156
172,117
173,312
174,145
175,156
176,156
177,156
178,91
179,156
180,156
181,156
182,156
183,312
184,159
