Time,com.sun.xml.bind.v2.runtime.BridgeImpl Data
0,4800
1,481
2,10080
3,481
4,10080
5,481
6,10080
7,481
8,10080
9,481
10,10080
11,481
12,10080
13,481
14,10080
15,481
16,10080
17,481
18,71
19,10080
20,481
21,10080
22,481
23,10080
24,481
25,10080
26,481
27,10080
28,481
29,10080
30,481
31,10080
32,481
33,10080
34,481
35,10080
36,481
37,10080
38,481
39,10080
40,481
41,10080
42,481
43,10080
44,481
45,10080
46,481
47,10080
48,481
49,10080
50,481
51,10080
52,481
53,10080
54,481
55,10080
56,481
57,71
58,10080
59,481
60,10080
61,481
62,10080
63,481
64,10080
65,481
66,10080
67,481
68,10080
69,481
70,10080
71,481
72,10080
73,481
74,10080
75,481
76,10080
77,481
78,10080
79,481
80,10080
81,481
82,10080
83,481
84,10080
85,481
86,10080
87,481
88,10080
89,481
90,10080
91,481
92,10080
93,481
94,71
95,10080
96,481
97,10080
98,481
99,10080
100,481
101,10080
102,481
103,10080
104,481
105,71
106,10080
107,481
108,10080
109,481
110,10080
111,481
112,10080
113,481
114,10080
115,481
116,10080
117,481
118,10080
119,481
120,10080
121,481
122,71
123,10080
124,481
125,10080
126,481
127,10080
128,481
129,10080
130,481
131,10080
132,481
133,10080
134,481
135,10080
136,481
137,10080
138,481
139,10080
140,481
141,10080
142,481
143,10080
144,481
145,10080
146,481
147,10080
148,481
149,10080
150,481
151,10080
152,481
153,10080
154,481
155,10080
156,481
157,10080
158,481
159,10080
160,481
161,10080
162,481
163,10080
164,481
165,10080
166,481
167,10080
168,481
169,10080
170,481
171,10080
172,481
173,10080
174,481
175,10080
176,481
177,10080
178,481
179,10080
180,481
181,10080
182,481
183,10080
184,481
185,10080
186,481
187,10080
188,481
189,10080
190,481
191,10080
192,481
193,10080
194,481
195,10080
196,481
197,10080
198,481
199,10080
200,481
201,10080
202,481
203,10080
204,481
205,10080
206,481
207,10080
208,481
209,71
210,10080
211,481
212,10080
213,481
214,10080
215,481
216,10080
217,481
218,10080
219,481
220,71
221,10080
222,481
223,10080
224,481
225,10080
226,481
227,10080
228,481
229,10080
230,481
231,10080
232,481
233,10080
234,481
235,10080
236,481
237,10080
238,481
239,10080
240,481
241,10080
242,481
243,10080
244,481
245,10080
246,481
247,10080
248,481
249,10080
250,481
251,10080
252,481
253,10080
254,481
255,10080
256,481
257,10080
258,481
259,10080
260,481
261,10080
262,481
263,10080
264,481
265,10080
266,481
267,10080
268,481
269,10080
270,481
271,10080
272,481
273,10080
274,481
275,10080
276,481
277,10080
278,481
279,10080
280,481
281,10080
282,481
283,10080
284,481
285,10080
286,481
287,10080
288,481
289,10080
290,481
291,10080
292,481
293,10080
294,481
295,10080
296,481
297,10080
298,481
299,10080
300,481
301,10080
302,481
303,10080
304,481
305,10080
306,481
307,10080
308,481
309,10080
310,481
311,10080
312,481
313,10080
314,481
315,10080
316,481
317,10080
318,481
319,10080
320,481
321,10080
322,481
323,10080
324,481
325,71
326,10080
327,481
328,10080
329,481
330,10080
331,481
332,10080
333,481
334,10080
335,481
336,10080
337,481
338,10080
339,481
340,10080
341,481
342,10080
343,481
344,10080
345,481
346,10080
347,481
348,10080
349,481
350,71
351,10080
352,481
353,10080
354,481
355,10080
356,481
357,10080
358,481
359,10080
360,481
361,10080
362,481
363,10080
364,481
365,10080
366,481
367,10080
368,481
369,10080
370,481
371,10080
372,481
373,10080
374,481
375,10080
376,481
377,10080
378,481
379,10080
380,481
381,10080
382,481
383,10080
384,481
385,10080
386,481
387,10080
388,481
389,10080
390,481
391,10080
392,481
393,10080
394,481
395,10080
396,481
397,10080
398,481
399,10080
400,481
401,10080
402,481
403,10080
404,481
405,10080
406,481
407,10080
408,481
409,10080
410,481
411,10080
412,481
413,10080
414,481
415,10080
416,481
417,10080
418,481
419,10080
420,481
