Time,org.apache.hadoop.ipc.Client$ConnectionId Data
0,138
1,142
2,126
3,134
4,63
5,155
6,149
7,110
8,97
9,100
10,67
11,130
12,129
13,75
14,132
15,128
16,99
17,79
18,133
19,91
20,135
21,166
22,140
23,45
24,55
25,152
26,53
27,66
28,157
29,155
30,139
31,141
32,72
33,48
34,180
35,112
36,67
37,64
38,62
39,41
40,180
41,76
42,185
43,144
44,42
45,151
46,112
47,143
48,71
49,180
50,129
51,40
52,153
53,86
54,162
55,102
56,127
57,53
58,41
59,137
60,53
61,112
62,187
63,170
64,127
65,95
66,154
67,224
68,202
69,48
70,108
71,63
72,115
73,145
74,95
75,114
76,133
77,83
78,129
79,122
80,90
81,99
82,90
83,94
84,224
85,223
86,126
87,118
88,112
89,173
90,213
91,79
92,113
93,127
94,118
95,128
96,120
97,153
98,121
99,210
100,79
101,231
102,183
103,177
104,209
105,102
106,226
107,164
108,246
109,141
110,97
111,136
112,67
113,178
114,253
115,155
116,221
117,75
118,197
119,98
120,208
121,247
122,115
123,244
124,61
125,164
126,272
127,85
128,226
129,110
130,162
131,254
132,132
133,163
134,254
135,121
136,142
137,255
138,105
139,131
140,107
141,128
142,208
143,278
144,118
145,166
146,168
147,245
148,117
149,36
150,100
151,164
152,155
153,215
154,277
155,262
156,49
157,107
158,79
159,132
160,182
161,44
162,123
163,95
164,149
165,173
166,139
167,176
168,222
169,180
170,226
171,252
172,80
173,133
174,147
175,85
176,125
177,137
178,99
179,104
180,68
181,70
182,280
