Time,com.sun.org.apache.xalan.internal.utils.SecuritySupport$4 Data
0,432
1,1058
2,706
3,945
4,897
5,209
6,1298
7,1106
8,1089
9,609
10,898
11,257
12,1058
13,1202
14,641
15,1154
16,1058
17,192
18,801
19,192
20,881
21,1106
22,1121
23,1106
24,1778
25,1394
26,384
27,545
28,1490
29,353
30,480
31,1298
32,1250
33,1185
34,818
35,353
36,1730
37,929
38,576
39,528
40,593
41,1634
42,257
43,1730
44,1010
45,1281
46,561
47,962
48,432
49,1682
50,1346
51,864
52,161
53,1363
54,672
55,977
56,1507
57,849
58,1010
59,1394
60,336
61,209
62,945
63,1555
64,1507
65,480
66,770
67,977
68,1298
69,1763
70,1747
71,561
72,257
73,946
74,1106
75,1025
76,866
77,1106
78,929
79,1106
80,1137
81,785
82,754
83,785
84,369
85,2195
86,2003
87,1202
88,1089
89,897
90,2162
91,1795
92,881
93,658
94,1202
95,818
96,528
97,1298
98,946
99,624
100,1586
101,1058
102,528
103,1715
104,929
105,2339
106,1699
107,305
108,2114
109,2099
110,994
111,2243
112,1538
113,2452
114,1394
115,609
116,1202
117,305
118,1922
119,2596
120,1363
121,2339
122,689
123,1987
124,657
125,1523
126,2164
127,1041
128,2164
129,353
130,1682
131,2740
132,1025
133,2387
134,753
135,1459
136,2548
137,1058
138,1507
139,2548
140,1041
141,1298
142,2404
143,657
144,1010
145,849
146,1042
147,2004
148,2884
149,144
150,818
151,1826
152,1699
153,2212
154,432
155,722
156,705
157,1490
158,1411
159,1955
160,2740
161,2548
162,432
163,753
164,833
165,1202
166,1699
167,209
168,720
169,945
170,1121
171,1202
172,1634
173,1154
174,1730
175,2051
176,1651
177,2051
178,2260
179,1025
180,1106
181,1250
182,1121
183,1010
184,1202
185,898
186,801
187,449
188,641
189,545
190,2853
