Time,com.google.common.cache.LocalCache$Segment Data
0,100
1,68
2,68
3,76
4,36
5,104
6,100
7,64
8,60
9,84
10,100
11,88
12,52
13,100
14,88
15,60
16,100
17,64
18,96
19,104
20,92
21,104
22,104
23,100
24,88
25,96
26,124
27,76
28,124
29,128
30,96
31,92
32,56
33,88
34,104
35,100
36,32
37,124
38,64
39,124
40,64
41,92
42,100
43,64
44,148
45,128
46,96
47,72
48,104
49,156
50,136
51,60
52,84
53,104
54,64
55,92
56,100
57,60
58,88
59,76
60,80
61,60
62,160
63,164
64,100
65,76
66,72
67,128
68,156
69,60
70,68
71,88
72,84
73,100
74,84
75,116
76,84
77,152
78,64
79,168
80,148
81,144
82,160
83,80
84,164
85,104
86,184
87,100
88,60
89,100
90,144
91,188
92,124
93,168
94,156
95,60
96,144
97,192
98,76
99,192
100,104
101,196
102,64
103,172
104,72
105,128
106,196
107,100
108,128
109,196
110,76
111,100
112,192
113,68
114,92
115,28
116,72
117,92
118,168
119,208
120,84
121,120
122,132
123,192
124,76
125,28
126,60
127,124
128,124
129,156
130,220
131,200
132,68
133,72
134,100
135,140
136,72
137,64
138,100
139,124
140,88
141,128
142,152
143,128
144,156
145,188
146,64
147,96
148,104
149,64
150,92
151,100
152,80
153,68
154,52
155,228
