Time,org.apache.commons.collections.map.AbstractReferenceMap$SoftRef Data
0,1098
1,437
2,1866
3,446
4,1546
5,446
6,2014
7,446
8,2105
9,446
10,1614
11,218
12,2412
13,446
14,2432
15,446
16,1786
17,140
18,2686
19,437
20,2644
21,209
22,2653
23,209
24,2451
25,373
26,3111
27,437
28,3159
29,437
30,2733
31,209
32,3363
33,437
34,3416
35,209
36,3010
37,209
38,3590
39,437
40,2586
41,140
42,3024
43,437
44,3589
45,437
46,3256
47,437
48,3801
49,437
50,4065
51,665
52,4085
53,665
54,3407
55,209
56,3645
57,371
58,3613
59,209
60,3717
61,209
62,4511
63,437
64,2857
65,140
66,3079
67,209
68,3696
69,437
70,3889
71,437
72,3987
73,437
74,3993
75,437
76,3580
77,209
78,3676
79,209
80,4524
81,665
82,4020
83,437
84,4207
85,209
86,4124
87,295
88,2882
89,140
90,2976
91,209
92,3796
93,437
94,3329
95,403
96,4100
97,437
98,4011
99,437
100,3480
101,209
102,4304
103,437
104,4141
105,209
106,4279
107,209
108,4115
109,437
110,4911
111,665
112,3512
113,368
114,3488
115,437
116,3125
117,209
118,3227
119,209
120,4049
121,437
122,3579
123,437
124,3790
125,437
126,4379
127,437
128,4215
129,437
130,4318
131,209
132,3937
133,209
134,4039
135,209
136,3570
137,368
138,3099
139,437
140,3110
141,209
142,3854
143,437
144,4326
145,437
146,4126
147,437
148,2276
149,140
150,2884
151,209
152,2980
153,437
154,3315
155,437
156,3842
157,437
158,3636
159,437
160,2943
161,209
162,3385
163,209
164,3145
165,209
166,3624
167,437
168,3949
169,437
170,3658
171,437
172,3305
173,172
174,3583
175,437
176,3361
177,209
178,3749
179,437
180,3969
181,437
182,3543
183,283
184,3777
185,209
186,4104
187,437
188,4103
189,209
190,3789
191,209
192,5165
193,665
194,5283
195,665
196,3438
197,368
198,3655
199,437
200,3680
201,437
202,3177
203,209
204,4438
205,665
206,4379
207,437
208,3789
209,209
210,3794
211,437
212,3762
213,209
214,4396
215,437
216,4365
217,209
218,4190
219,437
220,3478
221,368
222,3552
223,437
224,3294
225,437
226,3943
227,437
228,3879
229,437
230,3616
231,437
232,4774
233,665
234,3840
235,437
236,5135
237,665
238,4571
239,437
240,3945
241,209
242,5190
243,665
244,3969
245,368
246,3224
247,437
248,4489
249,665
250,4036
251,665
252,4595
253,665
254,4115
255,437
256,3946
257,209
258,4299
259,437
260,3804
261,209
262,4734
263,665
264,5235
265,665
266,4741
267,437
268,4176
269,596
270,3274
271,437
272,3945
273,437
274,3652
275,209
276,4395
277,417
278,4788
279,665
280,4199
281,437
282,4943
283,665
284,3816
285,209
286,4644
287,595
288,5260
289,497
290,4258
291,437
292,4184
293,596
294,3466
295,209
296,3825
297,437
298,4623
299,665
300,3993
301,437
302,4131
303,437
304,4931
305,665
306,4289
307,437
308,4415
309,437
310,5213
311,665
312,4478
313,359
314,4515
315,209
316,2901
317,209
318,3683
319,437
320,3693
321,209
322,4329
323,437
324,4845
325,665
326,3427
327,209
328,4009
329,209
330,4542
331,665
332,4592
333,665
334,5233
335,665
336,4045
337,209
338,4651
339,437
340,2895
341,209
342,3562
343,209
344,3928
345,665
346,3927
347,437
348,4585
349,437
350,4849
351,665
352,4939
353,665
354,3721
355,209
356,4307
357,437
358,4220
359,209
360,4629
361,437
362,5084
363,437
364,2909
365,209
366,3208
367,437
368,3730
369,437
370,3468
371,437
372,4025
373,437
374,4195
375,437
376,4197
377,437
378,4435
379,437
380,4970
381,665
382,4640
383,437
384,5104
385,437
386,5429
387,665
388,3384
389,437
390,3699
391,437
392,3894
393,437
394,3672
395,437
396,3983
397,437
398,4129
399,437
400,3839
401,209
402,4186
403,267
404,3858
405,437
406,3937
407,209
408,4045
409,209
410,5487
411,665
