Time,java.io.OutputStreamWriter Data
0,288
1,391
2,380
3,383
4,386
5,219
6,400
7,392
8,304
9,203
10,238
11,293
12,319
13,320
14,234
15,322
16,246
17,143
18,310
19,301
20,313
21,306
22,320
23,480
24,469
25,133
26,289
27,137
28,136
29,328
30,131
31,212
32,392
33,399
34,395
35,463
36,298
37,216
38,559
39,311
40,302
41,252
42,136
43,279
44,473
45,365
46,480
47,389
48,209
49,401
50,329
51,343
52,399
53,588
54,231
55,298
56,209
57,141
58,397
59,295
60,309
61,327
62,303
63,240
64,211
65,216
66,390
67,440
68,293
69,460
70,561
71,485
72,204
73,331
74,413
75,421
76,515
77,513
78,239
79,326
80,322
81,411
82,419
83,416
84,163
85,459
86,303
87,381
88,386
89,332
90,305
91,378
92,302
93,215
94,647
95,646
96,237
97,314
98,387
99,216
100,491
101,416
102,236
103,311
104,217
105,322
106,239
107,304
108,235
109,307
110,301
111,334
112,391
113,298
114,545
115,369
116,632
117,468
118,281
119,630
120,328
121,462
122,572
123,552
124,659
125,480
126,381
127,475
128,298
129,565
130,660
131,482
132,411
133,375
134,410
135,303
136,398
137,577
138,393
139,576
140,224
141,478
142,459
143,386
144,493
145,306
146,482
147,670
148,476
149,482
150,662
151,469
152,479
153,662
154,451
155,321
156,283
157,456
158,390
159,496
160,667
161,289
162,385
163,588
164,669
165,686
166,324
167,490
168,279
169,373
170,620
171,473
172,563
173,662
174,658
175,367
176,454
177,384
178,471
179,529
180,287
181,449
182,460
183,380
184,471
185,479
186,470
187,559
188,643
189,487
190,569
191,733
192,378
193,388
194,396
195,386
196,391
197,471
198,315
199,329
200,374
201,301
202,300
203,591
