Time,org.hibernate.jdbc.ConnectionManager Data
0,85
1,75
2,349
3,165
4,319
5,296
6,369
7,314
8,344
9,253
10,268
11,86
12,348
13,343
14,76
15,321
16,307
17,53
18,288
19,138
20,347
21,167
22,357
23,449
24,150
25,406
26,150
27,78
28,72
29,401
30,72
31,355
32,367
33,358
34,293
35,51
36,425
37,150
38,138
39,186
40,93
41,370
42,94
43,433
44,306
45,368
46,233
47,278
48,123
49,468
50,150
51,375
52,271
53,377
54,157
55,398
56,253
57,278
58,419
59,75
60,326
61,534
62,389
63,65
64,244
65,285
66,370
67,567
68,452
69,191
70,241
71,312
72,150
73,284
74,312
75,204
76,322
77,354
78,120
79,192
80,287
81,203
82,669
83,152
84,636
85,152
86,358
87,350
88,298
89,629
90,150
91,534
92,206
93,123
94,333
95,258
96,106
97,367
98,304
99,106
100,401
101,315
102,116
103,75
104,620
105,150
106,142
107,722
108,411
109,623
110,150
111,611
112,149
113,707
114,436
115,150
116,695
117,374
118,233
119,360
120,479
121,150
122,712
123,377
124,711
125,150
126,134
127,462
128,243
129,553
130,705
131,150
132,347
133,667
134,76
135,438
136,145
137,704
138,151
139,721
140,240
141,389
142,733
143,345
144,389
145,733
146,339
147,371
148,714
149,270
150,282
151,325
152,303
153,597
154,786
155,258
156,472
157,150
158,450
159,150
160,711
161,294
162,271
163,417
164,150
165,379
166,637
167,732
168,740
169,278
170,242
171,359
172,551
173,118
174,306
175,167
176,367
177,402
178,347
179,430
180,624
181,150
182,440
183,619
184,704
185,294
186,357
187,408
188,284
189,336
190,366
191,215
192,283
193,85
194,84
195,85
196,773
