Time,com.sun.xml.ws.encoding.HeaderTokenizer$Token Data
0,232
1,218
2,274
3,239
4,169
5,204
6,232
7,239
8,253
9,232
10,218
11,253
12,358
13,260
14,337
15,267
16,274
17,253
18,274
19,176
20,274
21,386
22,274
23,218
24,365
25,295
26,295
27,330
28,204
29,365
30,302
31,309
32,274
33,351
34,407
35,211
36,197
37,253
38,211
39,435
40,372
41,253
42,232
43,428
44,337
45,232
46,190
47,274
48,337
49,337
50,526
51,295
52,407
53,414
54,505
55,316
56,477
57,288
58,253
59,386
60,519
61,295
62,505
63,449
64,330
65,505
66,232
67,435
68,386
69,589
70,526
71,316
72,547
73,232
74,316
75,547
76,225
77,274
78,505
79,232
80,253
81,435
82,638
83,190
84,365
85,337
86,505
87,190
88,274
89,295
90,463
91,547
92,547
93,253
94,344
95,218
96,274
97,344
98,232
99,386
100,351
101,379
102,435
103,484
104,253
105,323
106,225
107,274
108,211
109,155
110,631
