Time,com.dataguise.hibernate.DgDiscoHadoopFileSets Data
0,63
1,72
2,66
3,71
4,67
5,68
6,70
7,68
8,78
9,69
10,75
11,75
12,73
13,77
14,71
15,65
16,73
17,76
18,58
19,69
20,81
