Time,java.net.URLClassLoader$1 Data
0,440
1,1020
2,450
3,720
4,760
5,760
6,750
7,720
8,280
9,150
10,760
11,720
12,750
13,280
14,470
15,614
16,760
17,450
18,760
19,1210
20,1160
21,760
22,510
23,760
24,760
25,750
26,1200
27,450
28,440
29,760
30,220
31,770
32,760
33,760
34,450
35,1210
36,760
37,450
38,760
39,450
40,450
41,760
42,460
43,770
44,440
45,720
46,780
47,760
48,310
49,450
50,760
51,1030
52,760
53,450
54,750
55,450
56,320
57,750
58,470
59,760
60,470
61,270
62,1230
63,1510
64,760
65,760
66,760
67,1210
68,760
69,450
70,629
71,450
72,760
73,470
74,450
75,760
76,470
77,450
78,1470
79,450
80,1520
81,760
82,1210
83,1070
84,450
85,1520
86,1200
87,1230
88,760
89,760
90,1210
91,1230
92,760
93,1520
94,730
95,770
96,938
97,1500
98,760
99,1510
100,770
101,1080
102,450
103,1520
104,310
105,760
106,1520
107,760
108,760
109,1520
110,760
111,760
112,1520
113,320
114,760
115,280
116,790
117,1530
118,1210
119,1200
120,1500
121,750
122,320
123,1200
124,760
125,1040
126,1520
127,1520
128,750
129,760
130,790
131,450
132,760
133,450
134,760
135,770
136,760
137,770
138,1470
139,760
140,790
141,1520
142,452
143,760
144,760
145,450
146,760
147,760
148,320
149,440
150,1520
