Time,sun.nio.ch.SelectionKeyImpl Data
0,110
1,1943
2,1566
3,1131
4,1256
5,422
6,1425
7,1632
8,1224
9,1002
10,1161
11,876
12,1657
13,1988
14,268
15,2082
16,2090
17,1069
18,1060
19,1793
20,1187
21,2092
22,2252
23,2011
24,127
25,557
26,2091
27,941
28,164
29,2039
30,2178
31,1302
32,1972
33,882
34,2337
35,1179
36,182
37,99
38,944
39,2313
40,870
41,2380
42,2181
43,2002
44,1041
45,1934
46,2239
47,2224
48,249
49,850
50,2446
51,215
52,1057
53,2924
54,872
55,1406
56,130
57,916
58,2226
59,150
60,891
61,1187
62,2371
63,2945
64,147
65,1304
66,1155
67,2151
68,3267
69,3145
70,974
71,934
72,1224
73,1634
74,1176
75,2137
76,2060
77,1100
78,1479
79,1284
80,1044
81,1209
82,333
83,1104
84,3024
85,3408
86,2040
87,1226
88,1265
89,2391
90,2373
91,1087
92,1294
93,2029
94,1802
95,178
96,2060
97,1629
98,217
99,2345
100,1691
101,3179
102,1143
103,3583
104,2425
105,1015
106,2389
107,3418
108,1260
109,3497
110,2290
111,4063
112,2194
113,591
114,2183
115,952
116,2422
117,3849
118,2796
119,3393
120,1691
121,3043
122,608
123,3159
124,4207
125,1216
126,4166
127,957
128,2223
129,4380
130,1129
131,3390
132,1240
133,2459
134,4019
135,1803
136,2505
137,3908
138,1298
139,2277
140,4331
141,1163
142,1871
143,554
144,1180
145,2079
146,3382
147,4293
148,1962
149,2252
150,3039
151,4348
152,149
153,1466
154,514
155,1126
156,2267
157,2987
158,3242
159,4412
160,4325
161,152
162,1192
163,1128
164,1695
165,2422
166,94
167,228
168,1226
169,1164
170,2194
171,2441
172,1982
173,2338
174,3278
175,3062
176,2942
177,3331
178,1172
179,2188
180,2149
181,1167
182,1981
183,2197
184,1122
185,1227
186,990
187,908
188,244
189,5023
