Time,javax.security.auth.Subject$SecureSet$1 Data
0,344
1,1548
2,1312
3,1151
4,1342
5,299
6,1677
7,1566
8,1303
9,997
10,1133
11,462
12,1589
13,1586
14,651
15,1624
16,1599
17,1052
18,127
19,868
20,1607
21,1016
22,1727
23,1967
24,1765
25,229
26,393
27,1984
28,498
29,318
30,1799
31,1822
32,1549
33,1664
34,498
35,2202
36,1099
37,354
38,258
39,607
40,1970
41,480
42,2066
43,1547
44,1747
45,873
46,1431
47,284
48,2020
49,1855
50,572
51,284
52,2029
53,515
54,921
55,2260
56,1112
57,1491
58,265
59,374
60,1875
61,346
62,478
63,1248
64,2345
65,2302
66,244
67,1317
68,977
69,1858
70,2662
71,2428
72,854
73,498
74,1181
75,1606
76,879
77,1513
78,1757
79,868
80,1533
81,1450
82,866
83,1058
84,939
85,983
86,110
87,2969
88,3010
89,1803
90,1436
91,1341
92,2367
93,2717
94,850
95,1158
96,1586
97,1319
98,347
99,1839
100,1457
101,480
102,2083
103,1474
104,248
105,2881
106,923
107,3202
108,2401
109,498
110,2439
111,2964
112,1232
113,3125
114,2036
115,3405
116,1874
117,912
118,1821
119,480
120,2304
121,3501
122,2027
123,3197
124,925
125,2604
126,933
127,2634
128,3410
129,1400
130,3354
131,573
132,1951
133,3593
134,921
135,3274
136,1223
137,2120
138,3499
139,1588
140,2140
141,3500
142,1417
143,1858
144,3552
145,1109
146,1490
147,188
148,1305
149,1592
150,2839
151,3750
152,1320
153,2160
154,2321
155,3410
156,226
157,1398
158,190
159,1091
160,2093
161,2047
162,2905
163,3757
164,3735
165,226
166,1230
167,900
168,1643
169,2358
170,209
171,535
172,1360
173,957
174,1821
175,2060
176,1710
177,2066
178,2833
179,2355
180,2808
181,3352
182,984
183,1728
184,1878
185,1031
186,1632
187,1821
188,1110
189,1160
190,499
191,540
192,594
193,4045
