Time,org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer Data
0,30
1,31
2,30
3,30
4,36
5,31
6,23
7,38
8,33
9,39
10,40
11,38
12,37
13,41
14,36
15,39
16,40
17,45
18,35
19,46
20,30
21,41
22,38
23,35
24,47
25,47
26,48
27,42
28,31
29,48
30,31
31,48
32,47
33,41
34,51
35,47
36,30
37,38
38,54
39,49
40,34
41,30
42,31
43,37
44,31
45,38
46,46
47,56
