Time,com.sun.xml.ws.model.soap.SOAPBindingImpl Data
0,1570
1,157
2,3297
3,3297
4,157
5,3297
6,3297
7,3297
8,157
9,3297
10,3297
11,3297
12,157
13,3297
14,3297
15,157
16,3297
17,157
18,3297
19,157
20,3297
21,3297
22,3297
23,157
24,3297
25,3297
26,157
27,3297
28,157
29,3297
30,157
31,3297
32,157
33,3297
34,157
35,3297
36,3297
37,157
38,3297
39,3297
40,3297
41,3297
42,157
43,3297
44,157
45,3297
46,157
47,3297
48,157
49,3297
50,3297
51,157
52,3297
53,157
54,3297
55,3297
56,3297
57,3297
58,3297
59,157
60,3297
61,157
62,3297
63,3297
64,157
65,3297
66,157
67,3297
68,157
69,3297
70,157
71,3297
72,157
73,3297
74,3297
75,157
76,3297
77,3297
78,3297
79,157
80,3297
81,3297
82,157
83,3297
84,157
85,3297
86,157
87,3297
88,3297
89,3297
90,157
91,3297
92,157
93,3297
94,157
95,3297
96,3297
97,157
98,3297
99,157
100,3297
101,3297
102,157
103,3297
104,157
105,3297
106,157
107,3297
108,157
109,3297
110,3297
111,157
112,3297
113,157
114,3297
115,157
116,3297
117,3297
118,3297
119,157
120,3297
121,157
122,3297
123,157
124,3297
125,3297
126,3297
127,3297
128,157
129,3297
130,157
131,3297
132,157
133,3297
134,157
135,3297
136,3297
137,157
138,3297
139,157
140,3297
141,3297
142,157
143,3297
144,3297
145,3297
146,157
147,3297
148,157
149,3297
150,157
151,3297
152,157
153,3297
154,157
155,3297
156,3297
157,3297
158,3297
159,3297
160,157
161,3297
162,157
163,3297
164,3297
165,3297
166,157
167,3297
168,157
169,3297
170,157
171,3297
172,3297
173,157
174,3297
175,157
176,3297
177,3297
178,157
179,3297
180,157
181,3297
182,3297
183,3297
184,157
185,3297
186,3297
187,157
188,3297
189,3297
190,3297
191,157
192,3297
193,3297
194,3297
195,157
196,3297
197,3297
198,3297
199,3297
200,3297
201,157
202,3297
203,3297
204,157
205,3297
206,3297
207,3297
208,3297
209,3297
210,157
211,3297
212,3297
213,157
214,3297
215,3297
216,3297
217,3297
218,3297
219,157
220,3297
221,3297
222,3297
223,157
224,3297
225,3297
226,157
227,3297
228,3297
229,3297
230,3297
231,3297
232,3297
233,3297
234,3297
235,3297
236,157
237,3297
238,157
239,3297
240,157
241,3297
242,157
243,3297
244,157
245,3297
246,3297
247,3297
248,157
249,3297
250,157
251,3297
252,3297
253,3297
254,3297
255,157
256,3297
257,157
258,3297
259,157
260,3297
261,157
262,3297
263,3297
264,3297
265,3297
266,3297
267,3297
268,157
269,3297
270,157
271,3297
272,157
273,3297
274,3297
275,3297
276,157
277,3297
278,157
279,3297
280,157
281,3297
282,157
283,3297
284,3297
285,3297
286,3297
287,3297
288,3297
289,3297
290,3297
291,3297
292,157
293,3297
294,3297
295,3297
296,157
297,3297
298,3297
299,3297
300,157
301,3297
302,157
303,3297
304,157
305,3297
306,157
307,3297
308,157
309,3297
