Time,com.google.gson.Gson$FutureTypeAdapter Data
0,414
1,401
2,405
3,429
4,417
5,410
6,349
7,373
8,414
9,416
10,271
11,420
12,376
13,392
14,361
15,417
16,417
17,474
18,456
19,303
20,441
21,432
22,426
23,423
24,408
25,769
26,315
27,600
28,609
29,411
30,429
31,349
32,373
33,468
34,432
35,361
36,432
37,352
38,441
39,395
40,376
41,168
42,435
43,401
44,769
45,441
46,371
47,374
48,429
49,772
50,456
51,349
52,364
53,417
54,374
55,417
56,336
57,410
58,420
59,324
60,395
61,346
62,827
63,822
64,423
65,417
66,405
67,790
68,745
69,333
70,416
71,364
72,429
73,404
74,447
75,407
76,809
77,843
78,735
79,787
80,800
81,836
82,472
83,842
84,435
85,352
86,423
87,646
88,851
89,432
90,843
91,624
92,355
93,772
94,803
95,414
96,837
97,441
98,827
99,846
100,368
101,438
102,855
103,414
104,441
105,855
106,414
107,429
108,846
109,362
110,376
111,402
112,376
113,790
114,861
115,364
116,475
117,481
118,803
119,324
120,363
121,634
122,435
123,781
124,1020
125,855
126,399
127,370
128,423
129,772
130,408
131,423
132,600
133,420
134,609
135,818
136,450
137,790
138,837
139,377
140,417
141,426
142,373
143,411
144,426
145,333
146,371
147,312
148,873
