Time,[[S Data
0,158
1,240
2,252
3,204
4,210
5,91
6,302
7,255
8,246
9,106
10,222
11,129
12,244
13,292
14,162
15,267
16,253
17,94
18,172
19,85
20,239
21,253
22,293
23,283
24,374
25,347
26,91
27,87
28,181
29,388
30,147
31,119
32,327
33,314
34,277
35,238
36,152
37,70
38,417
39,247
40,138
41,126
42,183
43,61
44,350
45,129
46,388
47,230
48,55
49,326
50,102
51,223
52,162
53,384
54,333
55,215
56,79
57,340
58,180
59,270
60,410
61,181
62,234
63,92
64,346
65,123
66,124
67,215
68,347
69,400
70,110
71,172
72,265
73,337
74,359
75,460
76,78
77,99
78,136
79,255
80,254
81,270
82,204
83,276
84,243
85,266
86,265
87,237
88,198
89,182
90,79
91,478
92,441
93,297
94,253
95,208
96,67
97,501
98,396
99,233
100,166
101,291
102,187
103,148
104,321
105,241
106,159
107,398
108,255
109,143
110,406
111,247
112,526
113,384
114,140
115,490
116,450
117,277
118,500
119,395
120,562
121,351
122,113
123,309
124,141
125,433
126,599
127,340
128,520
129,255
130,482
131,124
132,360
133,494
134,242
135,502
136,161
137,376
138,590
139,270
140,532
141,165
142,362
143,573
144,241
145,374
146,573
147,240
148,337
149,562
150,136
151,233
152,203
153,239
154,457
155,623
156,79
157,186
158,421
159,433
160,494
161,104
162,206
163,146
164,381
165,349
166,411
167,597
168,608
169,104
170,181
171,209
172,279
173,359
174,89
175,186
176,224
177,293
178,311
179,364
180,291
181,388
182,441
183,436
184,433
185,503
186,274
187,286
188,322
189,288
190,254
191,314
192,234
193,173
194,161
195,165
196,125
197,672
