Time,antlr.ASTPair Data
0,1789
1,3872
2,1859
3,2649
4,2782
5,2782
6,2712
7,2649
8,860
9,638
10,2782
11,2649
12,2712
13,877
14,1971
15,1859
16,2782
17,1859
18,2782
19,4641
20,4438
21,354
22,2782
23,2104
24,2782
25,2782
26,2712
27,4571
28,1859
29,1789
30,2782
31,922
32,2852
33,2782
34,2782
35,182
36,1859
37,4641
38,2782
39,1859
40,2782
41,1859
42,1859
43,2782
44,1901
45,2852
46,1789
47,2649
48,2894
49,2782
50,923
51,1859
52,2782
53,3572
54,2782
55,182
56,1859
57,2712
58,1859
59,993
60,2712
61,1971
62,2782
63,203
64,1971
65,790
66,4753
67,5494
68,2782
69,2782
70,2782
71,4641
72,2782
73,1859
74,2275
75,486
76,1859
77,2782
78,1971
79,1859
80,2782
81,1971
82,1859
83,5361
84,1859
85,5564
86,2782
87,4641
88,3705
89,1859
90,5564
91,4571
92,4753
93,2782
94,182
95,2782
96,4641
97,4753
98,2782
99,5564
100,2600
101,2852
102,182
103,3198
104,5479
105,2782
106,5494
107,2849
108,3760
109,1851
110,5542
111,920
112,2771
113,5542
114,2769
115,2769
116,5538
117,2769
118,2769
119,5538
120,987
121,481
122,2769
123,855
124,2948
125,5607
126,481
127,4620
128,4551
129,5497
130,2700
131,987
132,4551
133,2769
134,3624
135,5538
136,5538
137,2700
138,2767
139,2945
140,1851
141,2767
142,1851
143,2767
144,2836
145,2767
146,2836
147,5333
148,2767
149,2945
150,5534
151,1851
152,2767
153,2767
154,1851
155,2767
156,2767
157,985
158,1782
159,5534
