Time,com.sun.xml.stream.writers.XMLStreamWriterImpl$ElementState Data
0,150
1,160
2,160
3,150
4,150
5,170
6,170
7,100
8,160
9,180
10,190
11,190
12,200
13,200
14,200
15,180
16,200
17,200
18,210
19,100
20,160
21,170
22,170
23,180
24,190
25,180
26,160
27,180
28,170
29,170
30,200
31,120
32,170
33,180
34,180
35,180
36,170
37,170
38,180
39,200
40,200
41,210
42,190
43,120
44,150
45,180
46,190
47,210
48,170
49,170
50,190
51,200
52,200
53,200
54,220
55,170
56,150
57,160
58,190
59,180
60,190
61,190
62,170
63,190
64,170
65,170
66,140
67,140
68,150
69,180
70,180
71,190
72,120
73,160
74,180
75,180
76,180
77,190
78,160
79,170
80,170
81,190
82,170
83,190
84,120
85,150
86,170
87,180
88,180
89,190
90,190
91,190
92,170
93,170
94,210
95,190
96,180
97,180
98,170
99,210
100,190
101,190
102,190
103,170
104,190
105,200
106,200
107,170
108,170
109,180
110,190
111,190
112,190
113,190
114,210
115,190
116,170
117,220
118,170
119,190
120,180
121,200
122,190
123,190
124,190
125,190
126,210
127,210
128,190
129,150
130,190
131,180
132,190
133,210
134,190
135,190
136,170
137,210
138,210
139,190
140,150
141,170
142,190
143,170
144,170
145,190
146,170
147,170
148,200
149,180
150,180
151,130
152,170
153,170
154,200
155,220
156,170
157,190
158,210
159,190
160,210
161,190
162,170
163,130
164,160
165,160
166,160
167,180
168,200
169,190
170,170
171,190
172,190
173,190
174,140
175,170
176,160
177,180
178,190
179,200
180,190
181,210
182,190
183,190
184,210
185,210
186,150
187,160
188,170
189,170
190,180
191,180
192,190
193,190
194,170
195,190
196,190
197,210
