Time,org.hibernate.hql.ast.tree.DotNode Data
0,2990
1,261
2,4029
3,261
4,4324
5,261
6,4764
7,261
8,5192
9,261
10,5490
11,261
12,5957
13,261
14,6378
15,261
16,5057
17,261
18,5521
19,261
20,5925
21,261
22,6253
23,261
24,6681
25,261
26,7139
27,261
28,7476
29,261
30,7865
31,261
32,8325
33,261
34,8645
35,261
36,9052
37,261
38,9504
39,261
40,5685
41,261
42,6134
43,261
44,6577
45,261
46,6899
47,261
48,7342
49,261
50,7791
51,261
52,8175
53,261
54,8490
55,261
56,8921
57,261
58,9289
59,261
60,9459
61,261
62,9892
63,261
64,5507
65,261
66,5935
67,261
68,6308
69,261
70,6739
71,261
72,7164
73,261
74,7585
75,261
76,7887
77,261
78,8312
79,261
80,8799
81,261
82,9101
83,261
84,9505
85,261
86,9947
87,261
88,5677
89,261
90,6099
91,261
92,6565
93,261
94,6876
95,261
96,7334
97,261
98,7756
99,261
100,8054
101,261
102,8521
103,261
104,8910
105,261
106,9250
107,261
108,9693
109,261
110,10160
111,261
112,5640
113,261
114,6047
115,261
116,6448
117,261
118,6788
119,261
120,7255
121,261
122,7662
123,261
124,8052
125,261
126,8445
127,261
128,8851
129,261
130,9174
131,261
132,9592
133,261
134,9933
135,261
136,5728
137,261
138,6128
139,261
140,6448
141,261
142,6912
143,261
144,7342
145,261
146,7680
147,261
148,5466
149,261
150,5855
151,261
152,6252
153,261
154,6695
155,261
156,7134
157,261
158,7460
159,261
160,7843
161,261
162,8274
163,261
164,8608
165,261
166,9057
167,261
168,9496
169,261
170,9822
171,261
172,5500
173,261
174,5942
175,261
176,6247
177,261
178,6696
179,261
180,7136
181,261
182,7446
183,261
184,7862
185,261
186,8311
187,261
188,8673
189,261
190,9049
191,261
192,9543
193,261
194,9979
195,261
196,5631
197,261
198,6056
199,261
200,6481
201,261
202,6779
203,261
204,7270
205,261
206,7670
207,261
208,7972
209,261
210,8418
211,261
212,8819
213,261
214,9198
215,261
216,9602
217,261
218,10033
219,261
220,5584
221,261
222,5994
223,261
224,6416
225,261
226,6774
227,261
228,7184
229,261
230,7606
231,261
232,8084
233,261
234,8371
235,261
236,8856
237,261
238,9188
239,261
240,9537
241,261
242,10028
243,261
244,5636
245,261
246,5991
247,261
248,6476
249,261
250,6879
251,261
252,7226
253,261
254,7624
255,261
256,8013
257,261
258,8389
259,261
260,8772
261,261
262,9263
263,261
264,9606
265,261
266,10004
267,261
268,5682
269,261
270,6055
271,261
272,6408
273,261
274,6794
275,261
276,7269
277,261
278,7634
279,261
280,8020
281,261
282,8483
283,261
284,8743
285,261
286,9213
287,261
288,9605
289,261
290,9957
291,261
292,5767
293,261
294,6075
295,261
296,6490
297,261
298,6957
299,261
300,7340
301,261
302,7680
303,261
304,8147
305,261
306,8530
307,261
308,8870
309,261
310,9337
311,261
312,9699
313,261
314,10036
315,261
316,5627
317,261
318,6094
319,261
320,6410
321,261
322,6865
323,261
324,7329
325,261
326,7582
327,261
328,8025
329,261
330,8498
331,261
332,8885
333,261
334,9281
335,261
336,9625
337,261
338,10085
339,261
340,5627
341,261
342,6073
343,261
344,6539
345,261
346,6859
347,261
348,7302
349,261
350,7750
351,261
352,8091
353,261
354,8435
355,261
356,8895
357,261
358,9200
359,261
360,9664
361,261
362,10095
363,261
364,5598
365,261
366,6047
367,261
368,6490
369,261
370,6812
371,261
372,7255
373,261
374,7683
375,261
376,8020
377,261
378,8448
379,261
380,8905
381,261
382,9210
383,261
384,9641
385,261
386,10102
387,261
388,5648
389,261
390,6091
391,261
392,6516
393,261
394,6838
395,261
396,7281
397,261
398,7706
399,261
400,8007
401,261
402,8450
403,261
404,8843
405,261
406,9197
407,261
408,9622
409,261
410,10043
411,261
