Time,java.util.concurrent.FutureTask$WaitNode Data
0,325
1,231
2,248
3,287
4,349
5,317
6,292
7,218
8,270
9,324
10,332
11,176
12,331
13,315
14,242
15,207
16,343
17,237
18,354
19,412
20,381
21,404
22,354
23,345
24,319
25,335
26,484
27,239
28,439
29,473
30,332
31,334
32,190
33,318
34,402
35,378
36,402
37,230
38,437
39,251
40,335
41,383
42,261
43,527
44,429
45,305
46,235
47,349
48,571
49,469
50,207
51,274
52,339
53,215
54,313
55,334
56,217
57,329
58,292
59,249
60,228
61,208
62,570
63,595
64,350
65,261
66,284
67,521
68,575
69,215
70,194
71,335
72,263
73,345
74,319
75,428
76,320
77,572
78,210
79,660
80,499
81,544
82,615
83,280
84,633
85,375
86,707
87,390
88,220
89,366
90,490
91,723
92,422
93,613
94,568
95,229
96,529
97,696
98,283
99,672
100,387
101,712
102,221
103,678
104,269
105,409
106,728
107,319
108,440
109,732
110,279
111,359
112,681
113,246
114,329
115,253
116,337
117,624
118,756
119,293
120,436
121,460
122,690
123,247
124,224
125,448
126,429
127,600
128,784
129,753
130,255
131,238
132,343
133,540
134,277
135,236
136,359
137,440
138,328
139,456
140,597
141,463
142,566
143,664
144,224
145,352
146,388
147,241
148,306
149,358
150,264
151,239
152,161
153,813
