Time,sun.nio.cs.US_ASCII$Decoder Data
0,88
1,85
2,185
3,178
4,82
5,182
6,85
7,91
8,185
9,93
10,90
11,85
12,191
13,188
14,190
15,90
16,88
17,88
18,89
19,183
20,195
21,188
22,193
23,182
24,195
25,185
26,198
27,191
28,94
29,190
30,192
31,177
32,192
33,201
34,197
35,196
36,201
37,184
38,186
39,194
40,181
41,199
42,199
43,90
44,188
45,192
46,90
47,205
