Time,java.util.ArrayList$SubList$1 Data
0,122
1,346
2,238
3,296
4,303
5,373
6,343
7,320
8,202
9,239
10,347
11,356
12,126
13,350
14,293
15,271
16,202
17,349
18,238
19,363
20,433
21,435
22,87
23,421
24,80
25,80
26,383
27,377
28,350
29,333
30,504
31,233
32,91
33,102
34,427
35,457
36,334
37,372
38,189
39,273
40,116
41,433
42,387
43,175
44,409
45,151
46,228
47,443
48,276
49,282
50,59
51,400
52,119
53,304
54,520
55,441
56,246
57,262
58,391
59,562
60,479
61,178
62,240
63,344
64,219
65,274
66,354
67,162
68,341
69,339
70,135
71,166
72,263
73,189
74,670
75,658
76,371
77,333
78,307
79,554
80,561
81,158
82,169
83,354
84,252
85,139
86,389
87,324
88,149
89,432
90,330
91,105
92,636
93,215
94,707
95,474
96,555
97,610
98,250
99,698
100,471
101,735
102,395
103,197
104,381
105,533
106,752
107,413
108,702
109,192
110,523
111,203
112,552
113,682
114,326
115,710
116,90
117,425
118,711
119,224
120,722
121,232
122,425
123,750
124,347
125,429
126,750
127,323
128,389
129,743
130,225
131,283
132,303
133,293
134,596
135,794
136,253
137,493
138,517
139,683
140,302
141,219
142,495
143,421
144,598
145,800
146,780
147,285
148,206
149,367
150,522
151,163
152,315
153,234
154,381
155,441
156,357
157,457
158,643
159,468
160,598
161,719
162,226
163,365
164,395
165,230
166,346
167,381
168,186
169,239
170,135
171,91
172,108
173,824
