Time,java.util.HashSet Data
0,21398
1,38682
2,36641
3,38269
4,38611
5,34180
6,40233
7,39729
8,33034
9,38965
10,37204
11,37785
12,35810
13,40137
14,40336
15,36180
16,40634
17,40142
18,35904
19,40138
20,33934
21,36981
22,40116
23,37907
24,40848
25,42867
26,42370
27,35244
28,36810
29,36011
30,36962
31,43138
32,34961
33,35013
34,40439
35,40932
36,40748
37,40352
38,36352
39,35857
40,43770
41,38995
42,38280
43,37305
44,35632
45,34304
46,41256
47,36573
48,42444
49,40632
50,35338
51,42092
52,38999
53,40407
54,38403
55,44811
56,40715
57,38392
58,34606
59,35226
60,41885
61,37372
62,38833
63,43151
64,40237
65,40618
66,36507
67,37034
68,41391
69,36074
70,35551
71,40352
72,43991
73,42794
74,35179
75,38532
76,39422
77,41631
78,44699
79,43630
80,36007
81,38680
82,36991
83,40605
84,42169
85,39980
86,39154
87,40554
88,38073
89,40719
90,41348
91,38210
92,38896
93,40542
94,39338
95,36777
96,48188
97,48200
98,41004
99,40775
100,40364
101,35530
102,46136
103,44976
104,39157
105,39126
106,36857
107,42467
108,40984
109,39203
110,41319
111,40348
112,37528
113,42788
114,41154
115,38015
116,47080
117,39553
118,49043
119,44556
120,37985
121,47808
122,45424
123,38815
124,47602
125,43797
126,48252
127,42890
128,39634
129,42988
130,38022
131,45873
132,49842
133,44308
134,47467
135,38678
136,44189
137,39287
138,45390
139,48616
140,42314
141,48736
142,38418
143,45146
144,49860
145,40919
146,47854
147,39523
148,42965
149,49050
150,42234
151,43686
152,49657
153,42687
154,43822
155,50189
156,42095
157,42407
158,35726
159,41170
160,40952
161,46297
162,50246
163,36880
164,40935
165,45724
166,45883
167,49913
168,38676
169,43148
170,35920
171,39984
172,44142
173,43310
174,47199
175,50111
176,50353
177,38200
178,42313
179,41224
180,44137
181,47228
182,36343
183,38556
184,41701
185,40084
186,43286
187,44250
188,43426
189,44971
190,48563
191,45863
192,48341
193,50706
194,40815
195,42552
196,43506
197,41465
198,42859
199,43691
200,40871
201,42039
202,39825
203,39581
204,39806
205,52511
