Time,[Lcom.sun.org.apache.xalan.internal.utils.XMLSecurityManager$Limit; Data
0,136
1,335
2,225
3,298
4,283
5,68
6,410
7,350
8,343
9,193
10,285
11,83
12,335
13,380
14,203
15,365
16,335
17,61
18,253
19,61
20,278
21,350
22,353
23,350
24,560
25,440
26,121
27,173
28,470
29,113
30,151
31,410
32,395
33,373
34,260
35,113
36,545
37,293
38,181
39,166
40,188
41,515
42,83
43,545
44,320
45,403
46,178
47,305
48,136
49,530
50,425
51,271
52,53
53,432
54,211
55,308
56,477
57,268
58,320
59,440
60,106
61,68
62,298
63,492
64,477
65,151
66,245
67,308
68,410
69,557
70,552
71,178
72,83
73,300
74,350
75,323
76,275
77,350
78,293
79,350
80,358
81,248
82,240
83,248
84,118
85,692
86,632
87,380
88,343
89,283
90,680
91,567
92,278
93,210
94,380
95,260
96,166
97,410
98,300
99,196
100,500
101,335
102,166
103,542
104,293
105,737
106,537
107,98
108,665
109,662
110,315
111,707
112,485
113,774
114,440
115,193
116,380
117,98
118,605
119,819
120,432
121,737
122,218
123,627
124,208
125,482
126,684
127,328
128,684
129,113
130,530
131,864
132,323
133,752
134,238
135,462
136,804
137,335
138,477
139,804
140,328
141,410
142,759
143,208
144,320
145,268
146,330
147,634
148,909
149,260
150,575
151,537
152,699
153,136
154,230
155,223
156,470
157,447
158,617
159,864
160,804
161,136
162,238
163,263
164,380
165,537
166,68
167,226
168,298
169,353
170,380
171,515
172,365
173,545
174,647
175,522
176,647
177,714
178,323
179,350
180,395
181,353
182,320
183,380
184,285
185,253
186,143
187,203
188,173
189,901
