Time,org.hibernate.hql.ast.tree.UpdateStatement Data
0,51
1,46
2,65
3,79
4,84
5,88
6,93
7,98
8,60
9,93
10,98
11,103
12,105
13,109
14,57
15,62
16,81
17,85
18,90
19,99
20,104
21,109
22,59
23,64
24,73
25,83
26,87
27,92
28,97
29,101
30,106
31,111
32,69
33,73
34,83
35,87
36,92
37,97
38,101
39,106
40,110
41,65
42,69
43,58
44,86
45,91
46,95
47,100
48,105
49,109
50,67
51,82
52,86
53,91
54,96
55,100
56,110
57,72
58,86
59,91
60,96
61,100
62,105
63,110
64,68
65,82
66,91
67,101
68,105
69,110
70,87
71,91
72,96
73,110
74,73
75,87
76,96
77,101
78,110
79,93
80,97
81,107
82,111
83,59
84,82
85,87
86,106
87,111
88,59
89,92
90,97
91,101
92,106
93,111
94,59
95,87
96,92
97,101
98,106
99,87
100,92
101,96
102,101
103,106
