Time,org.postgresql.core.PGStream$1 Data
0,232
1,307
2,311
3,310
4,310
5,160
6,310
7,310
8,235
9,234
10,237
11,237
12,162
13,237
14,237
15,232
16,233
17,234
18,234
19,384
20,384
21,230
22,236
23,158
24,310
25,317
26,313
27,385
28,235
29,160
30,460
31,235
32,235
33,188
34,232
35,383
36,307
37,384
38,311
39,160
40,315
41,265
42,265
43,340
44,490
45,234
46,159
47,311
48,236
49,236
50,235
51,159
52,160
53,308
54,383
55,234
56,385
57,461
58,386
59,155
60,258
61,335
62,336
63,412
64,412
65,186
66,261
67,261
68,336
69,336
70,337
71,371
72,223
73,298
74,299
75,255
76,224
77,299
78,224
79,149
80,525
81,525
82,235
83,311
84,162
85,388
86,313
87,237
88,162
89,237
90,237
91,232
92,233
93,309
94,234
95,442
96,292
97,518
98,367
99,217
100,517
101,382
102,458
103,459
104,535
105,384
106,309
107,384
108,234
109,459
110,535
111,384
112,306
113,307
114,308
115,234
116,299
117,459
118,309
119,459
120,159
121,378
122,334
123,309
124,381
125,232
126,383
127,534
128,384
129,384
130,534
131,384
132,384
133,534
134,373
135,234
136,231
137,382
138,308
139,385
140,535
141,234
142,308
143,489
144,565
145,565
146,264
147,414
148,231
149,307
150,533
151,384
152,459
153,535
154,535
155,309
156,384
157,310
158,385
159,427
160,232
161,383
162,384
163,311
164,386
165,386
166,386
167,461
168,536
169,386
170,461
171,611
172,307
173,308
174,310
175,310
176,310
177,385
178,235
179,258
180,310
181,235
182,235
183,461
