Time,[Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit; Data
0,1646
1,2631
2,2786
3,2141
4,2211
5,651
6,3431
7,2791
8,161
9,2716
10,821
11,2361
12,1131
13,2631
14,3271
15,1551
16,2951
17,2751
18,641
19,1661
20,641
21,2621
22,2791
23,3336
24,3176
25,4391
26,4021
27,641
28,581
29,1841
30,4536
31,1451
32,1021
33,3766
34,3591
35,3101
36,2566
37,1451
38,351
39,4921
40,2681
41,1221
42,1071
43,1931
44,271
45,4071
46,1131
47,4551
48,2471
49,161
50,3741
51,751
52,2361
53,1551
54,4476
55,3911
56,2291
57,161
58,491
59,3921
60,1811
61,3001
62,4841
63,1821
64,2521
65,651
66,4071
67,1081
68,1091
69,2261
70,4021
71,4721
72,961
73,1721
74,2941
75,3896
76,4181
77,5521
78,481
79,751
80,1231
81,2791
82,2791
83,3001
84,2201
85,3111
86,2671
87,2951
88,2941
89,2571
90,2041
91,1821
92,597
93,481
94,5731
95,5251
96,3431
97,2781
98,2181
99,321
100,6041
101,4661
102,2511
103,1616
104,161
105,3271
106,1881
107,1351
108,3751
109,2631
110,1551
111,4711
112,2791
113,1301
114,4786
115,2696
116,6371
117,4501
118,1291
119,5881
120,5461
121,3111
122,6051
123,4661
124,6861
125,4071
126,911
127,3511
128,1291
129,5141
130,7341
131,3921
132,6371
133,2841
134,5826
135,1071
136,4181
137,5951
138,2621
139,6061
140,1571
141,4391
142,7231
143,3001
144,6531
145,1646
146,4241
147,7021
148,2631
149,4401
150,7021
151,2621
152,3911
153,6861
154,1231
155,2521
156,171
157,2126
158,2616
159,5471
160,7661
161,481
162,1881
163,4966
164,5151
165,5951
166,801
167,2151
168,171
169,1391
170,4501
171,4081
172,4891
173,7341
174,7461
175,801
176,1821
177,2191
178,3111
179,4171
180,651
181,1901
182,2421
183,3321
184,3526
185,4231
186,3271
187,4551
188,5251
189,5201
190,5141
191,6061
192,3101
193,3231
194,3711
195,3261
196,2791
197,3591
198,2521
199,1711
200,1561
201,1611
202,1071
203,8311
