Time,javax.security.auth.Subject$ClassSet$1 Data
0,325
1,296
2,235
3,281
4,327
5,325
6,269
7,241
8,327
9,317
10,327
11,325
12,235
13,327
14,361
15,365
16,345
17,365
18,329
19,363
20,295
21,361
22,412
23,209
24,384
25,386
26,329
27,331
28,207
29,289
30,393
31,363
32,407
33,443
34,235
35,289
36,363
37,269
38,460
39,445
40,269
41,363
42,568
43,447
44,205
45,327
46,333
47,363
48,315
49,283
50,181
51,239
52,598
53,642
54,363
55,283
56,281
57,414
58,570
59,298
60,317
61,287
62,363
63,315
64,377
65,315
66,630
67,644
68,460
69,414
70,614
71,209
72,644
73,393
74,680
75,363
76,207
77,363
78,418
79,680
80,407
81,644
82,468
83,207
84,560
85,698
86,281
87,688
88,365
89,698
90,646
91,253
92,409
93,690
94,327
95,409
96,690
97,283
98,363
99,724
100,253
101,289
102,281
103,323
104,542
105,732
106,287
107,414
108,437
109,698
110,304
111,243
112,412
113,407
114,606
115,747
116,728
117,279
118,327
119,460
120,281
121,363
122,386
123,353
124,386
125,596
126,445
127,570
128,688
129,361
130,365
131,361
132,363
133,253
134,772
