Time,[Ljava.lang.Class; Data
0,68480
1,79571
2,72024
3,78112
4,78037
5,62104
6,80800
7,79083
8,29834
9,48268
10,39599
11,40642
12,33080
13,48224
14,48448
15,34431
16,48145
17,42444
18,31000
19,45691
20,26851
21,37904
22,44752
23,38993
24,45092
25,53546
26,51713
27,25906
28,29163
29,27283
30,29206
31,47445
32,28659
33,29662
34,45564
35,46033
36,45368
37,43275
38,28597
39,27122
40,55054
41,38208
42,32269
43,33561
44,29635
45,26085
46,48056
47,29594
48,49531
49,43930
50,26165
51,45961
52,35121
53,37648
54,34772
55,53608
56,46331
57,39931
58,26171
59,27053
60,46525
61,36238
62,38486
63,47523
64,41717
65,37885
66,26745
67,26799
68,47233
69,34236
70,27374
71,43808
72,52931
73,47451
74,29548
75,36713
76,40883
77,46119
78,54391
79,49291
80,26969
81,34510
82,27720
83,39907
84,44247
85,38452
86,37801
87,44181
88,33777
89,43849
90,44785
91,31396
92,33119
93,41844
94,34536
95,26642
96,62633
97,61773
98,45355
99,44546
100,43055
101,26372
102,59565
103,52112
104,33587
105,35981
106,26496
107,44514
108,36580
109,35474
110,45839
111,43143
112,35843
113,47636
114,43515
115,34465
116,60767
117,37799
118,64476
119,49732
120,27697
121,59334
122,56585
123,38362
124,63511
125,52936
126,64251
127,46328
128,35124
129,45370
130,28142
131,56008
132,65101
133,46361
134,64277
135,36457
136,51098
137,35456
138,52843
139,59523
140,44317
141,63210
142,28516
143,49097
144,60826
145,38290
146,64665
147,36332
148,46918
149,65738
150,44424
151,47160
152,65577
153,44188
154,45951
155,64855
156,37324
157,37856
158,26260
159,43220
160,38687
161,55469
162,68113
163,26621
164,36668
165,55008
166,54106
167,63514
168,29293
169,41825
170,26243
171,36499
172,53686
173,46557
174,56334
175,67267
176,65911
177,29249
178,42100
179,35911
180,45262
181,53580
182,26998
183,36414
184,43363
185,38929
186,45491
187,48446
188,44952
189,49355
190,61451
191,48566
192,56091
193,64010
194,40936
195,44872
196,46282
197,41035
198,44133
199,45449
200,34193
201,37515
202,34218
203,30024
204,30711
205,67753
