Time,org.hibernate.hql.HolderInstantiator Data
0,353
1,326
2,313
3,369
4,323
5,355
6,276
7,233
8,357
9,338
10,328
11,308
12,288
13,356
14,363
15,444
16,403
17,388
18,324
19,369
20,363
21,310
22,427
23,158
24,369
25,423
26,320
27,369
28,228
29,253
30,469
31,375
32,245
33,375
34,387
35,246
36,251
37,415
38,343
39,527
40,378
41,255
42,252
43,369
44,583
45,432
46,188
47,211
48,322
49,295
50,322
51,305
52,362
53,274
54,225
55,661
56,666
57,363
58,357
59,313
60,603
61,512
62,319
63,246
64,369
65,290
66,388
67,299
68,651
69,731
70,391
71,601
72,623
73,722
74,434
75,674
76,370
77,225
78,363
79,476
80,686
81,375
82,724
83,441
84,232
85,560
86,717
87,357
88,684
89,428
90,694
91,731
92,249
93,382
94,737
95,356
96,381
97,737
98,350
99,369
100,724
101,287
102,261
103,344
104,304
105,574
106,784
107,250
108,471
109,443
110,723
111,310
112,288
113,424
114,375
115,657
116,738
117,738
118,300
119,208
120,363
121,539
122,319
123,369
124,399
125,356
126,422
127,642
128,425
129,606
130,719
131,258
132,363
133,407
134,248
135,351
136,369
137,295
138,762
