Time,java.beans.MethodDescriptor Data
0,5079
1,5079
2,5079
3,5079
4,5079
5,5079
6,5079
7,5079
8,5079
9,5079
10,5079
11,5079
12,5079
13,5079
14,5079
15,5079
16,5079
17,5079
18,5079
19,5079
20,5079
21,5079
22,5079
23,5079
24,5079
25,5079
26,5079
27,5079
28,5079
29,5079
30,5079
31,5079
32,5079
33,5079
34,5079
35,5079
36,5079
37,5079
38,5079
39,5079
40,5079
41,5079
42,5079
43,5079
44,5079
45,5079
46,5079
47,5079
48,5079
49,5079
50,5079
51,5079
52,5079
53,5079
54,5079
55,5079
56,5079
57,5079
58,5079
59,5079
60,5079
61,5079
62,5079
63,5079
64,5079
65,5079
66,5079
67,5079
68,5079
69,5079
70,5079
71,5079
72,5079
73,5079
74,5079
75,5079
76,5079
77,5079
78,5079
79,5079
80,5079
81,5079
82,5079
83,5079
84,5079
85,5079
86,5079
87,5079
88,5079
89,5079
90,5079
91,5079
92,5079
93,5079
94,5079
95,5079
96,5079
97,5079
98,5079
99,5079
100,5079
101,5079
102,5079
103,5079
104,5079
105,5079
106,5079
107,5079
108,5079
109,5079
110,5079
111,5079
112,5079
113,5079
114,5079
115,5079
116,5079
117,5079
118,5079
119,5079
120,5079
121,5079
122,5079
123,5079
124,5079
125,5079
126,5079
127,5079
128,5079
129,5079
130,5079
131,5079
132,5079
133,5079
134,5079
135,5079
136,5079
137,5079
138,5079
139,5079
140,5079
141,5079
142,5079
143,5079
144,5079
145,5079
146,5079
147,5079
148,5079
149,5079
150,5079
151,5079
152,5079
153,5079
154,5079
155,5079
156,5079
157,5079
158,5079
159,5079
160,5079
161,5079
162,5079
163,5079
164,5079
165,5079
166,5079
167,5079
168,5079
169,5079
170,5079
171,5079
172,5079
173,5079
174,5079
175,5079
176,5079
177,5079
178,5079
179,5079
180,5079
181,5079
182,5079
183,5079
184,5079
185,5079
186,5079
187,5079
188,5079
189,5079
190,5079
191,5079
192,5079
193,5079
194,5079
195,5079
196,5079
197,5079
198,5079
199,5079
200,5079
201,5079
202,5079
203,5079
204,5079
205,5079
