Time,com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderImpl Data
0,127
1,201
2,212
3,164
4,170
5,51
6,261
7,213
8,207
9,180
10,87
11,201
12,249
13,119
14,225
15,210
16,50
17,128
18,50
19,200
20,213
21,253
22,242
23,333
24,306
25,46
26,140
27,345
28,111
29,79
30,286
31,273
32,236
33,197
34,111
35,374
36,204
37,94
38,83
39,147
40,309
41,87
42,345
43,189
44,284
45,180
46,119
47,340
48,297
49,175
50,298
51,139
52,228
53,368
54,140
55,192
56,51
57,309
58,85
59,85
60,174
61,306
62,358
63,74
64,132
65,224
66,296
67,318
68,418
69,95
70,213
71,213
72,228
73,168
74,237
75,203
76,225
77,224
78,195
79,156
80,140
81,435
82,399
83,261
84,212
85,167
86,458
87,354
88,191
89,124
90,249
91,144
92,105
93,285
94,201
95,119
96,357
97,213
98,101
99,364
100,205
101,483
102,342
103,99
104,446
105,414
106,237
107,459
108,354
109,520
110,309
111,71
112,267
113,99
114,390
115,556
116,298
117,483
118,216
119,441
120,83
121,318
122,451
123,200
124,460
125,120
126,333
127,547
128,228
129,495
130,126
131,322
132,532
133,201
134,334
135,532
136,200
137,297
138,520
139,95
140,192
141,163
142,199
143,415
144,580
145,144
146,378
147,391
148,451
149,62
150,165
151,107
152,342
153,310
154,371
155,556
156,566
157,62
158,140
159,167
160,237
161,317
162,51
163,146
164,185
165,252
166,269
167,321
168,249
169,345
170,399
171,394
172,390
173,460
174,236
175,247
176,282
177,248
178,213
179,273
180,192
181,131
182,120
183,123
184,83
185,629
