Time,sun.util.calendar.ZoneInfo Data
0,231
1,350
2,334
3,346
4,346
5,225
6,363
7,350
8,63
9,279
10,238
11,246
12,247
13,281
14,279
15,243
16,283
17,280
18,157
19,261
20,61
21,244
22,274
23,253
24,281
25,380
26,359
27,138
28,241
29,142
30,156
31,294
32,147
33,226
34,345
35,360
36,358
37,418
38,308
39,231
40,449
41,249
42,313
43,239
44,157
45,288
46,432
47,316
48,451
49,346
50,217
51,365
52,350
53,365
54,352
55,489
56,201
57,238
58,215
59,143
60,361
61,235
62,252
63,291
64,246
65,257
66,217
67,222
68,367
69,376
70,299
71,428
72,516
73,443
74,222
75,356
76,350
77,386
78,492
79,482
80,251
81,341
82,331
83,353
84,377
85,358
86,195
87,418
88,315
89,334
90,352
91,328
92,312
93,317
94,326
95,221
96,555
97,555
98,202
99,278
100,346
101,224
102,394
103,372
104,247
105,250
106,230
107,273
108,259
109,247
110,201
111,247
112,240
113,296
114,341
115,244
116,460
117,309
118,561
119,425
120,287
121,528
122,317
123,401
124,497
125,452
126,563
127,443
128,400
129,437
130,309
131,463
132,569
133,443
134,337
135,329
136,383
137,324
138,365
139,498
140,357
141,490
142,236
143,387
144,435
145,331
146,418
147,331
148,445
149,587
150,438
151,447
152,583
153,432
154,442
155,580
156,427
157,341
158,287
159,420
160,423
161,457
162,591
163,296
164,405
165,487
166,560
167,604
168,339
169,447
170,286
171,408
172,514
173,434
174,555
175,576
176,575
177,382
178,410
179,390
180,432
181,486
182,293
183,389
184,421
185,330
186,435
187,444
188,430
189,528
190,548
191,453
192,546
193,648
194,319
195,353
196,364
197,331
198,354
199,436
200,320
201,350
202,310
203,315
204,309
205,515
