Time,org.apache.hadoop.hdfs.protocol.proto.HdfsProtos$DatanodeInfoProto Data
0,69
1,381
2,237
3,296
4,304
5,97
6,418
7,387
8,314
9,247
10,331
11,110
12,388
13,395
14,185
15,400
16,380
17,25
18,264
19,32
20,240
21,394
22,290
23,400
24,456
25,423
26,22
27,32
28,100
29,138
30,462
31,122
32,132
33,431
34,419
35,362
36,376
37,122
38,26
39,543
40,280
41,138
42,73
43,147
44,531
45,110
46,556
47,382
48,381
49,233
50,367
51,56
52,450
53,431
54,182
55,91
56,496
57,157
58,278
59,527
60,277
61,380
62,94
63,91
64,437
65,119
66,110
67,296
68,603
69,528
70,126
71,321
72,296
73,431
74,645
75,565
76,26
77,227
78,116
79,288
80,394
81,271
82,363
83,401
84,259
85,379
86,335
87,180
88,270
89,270
90,241
91,33
92,707
93,684
94,413
95,329
96,304
97,20
98,592
99,658
100,253
101,205
102,391
103,342
104,144
105,425
106,360
107,165
108,489
109,366
110,50
111,664
112,266
113,746
114,579
115,116
116,607
117,702
118,300
119,727
120,456
121,809
122,437
123,246
124,419
125,116
126,596
127,834
128,496
129,740
130,180
131,665
132,252
133,631
134,794
135,323
136,793
137,135
138,456
139,849
140,278
141,753
142,292
143,515
144,836
145,388
146,521
147,836
148,323
149,431
150,824
151,267
152,380
153,72
154,298
155,387
156,716
157,876
158,26
159,342
160,490
161,550
162,794
163,132
164,305
165,72
166,259
167,537
168,502
169,677
170,937
171,856
172,132
173,279
174,305
175,406
176,601
177,60
178,177
179,310
180,290
181,419
182,531
183,386
184,556
185,675
186,546
187,688
188,793
189,272
190,400
191,432
192,278
193,375
194,419
195,288
196,285
197,135
198,142
199,167
200,965
