Time,java.io.ExpiringCache$Entry Data
0,260
1,269
2,288
3,322
4,342
5,377
6,401
7,209
8,237
9,265
10,286
11,318
12,225
13,261
14,291
15,306
16,331
17,187
18,207
19,267
20,296
21,327
22,175
23,240
24,264
25,285
26,322
27,242
28,271
29,288
30,321
31,187
32,216
33,248
34,281
35,310
36,341
37,192
38,226
39,254
40,280
41,314
42,344
43,112
44,198
45,226
46,255
47,279
48,303
49,325
50,165
51,224
52,284
53,306
54,340
55,202
56,231
57,255
58,290
59,341
60,262
61,298
62,326
63,348
64,245
65,278
66,314
67,344
68,365
69,188
70,223
71,290
72,328
73,348
74,379
75,233
76,261
77,290
78,323
79,354
80,279
81,311
82,344
83,206
84,238
85,261
86,286
87,322
88,354
