Time,[Ljava.lang.reflect.Constructor; Data
0,7057
1,7582
2,7578
3,7582
4,7578
5,7549
6,7594
7,7586
8,1331
9,1376
10,1345
11,1361
12,1339
13,1372
14,1380
15,1348
16,1376
17,1363
18,1337
19,1364
20,249
21,285
22,294
23,297
24,294
25,322
26,317
27,249
28,257
29,251
30,273
31,312
32,265
33,264
34,306
35,302
36,300
37,290
38,265
39,255
40,326
41,291
42,266
43,277
44,261
45,243
46,303
47,253
48,309
49,284
50,245
51,296
52,259
53,275
54,270
55,312
56,298
57,279
58,245
59,249
60,298
61,273
62,287
63,304
64,280
65,277
66,243
67,247
68,300
69,265
70,251
71,284
72,306
73,304
74,258
75,267
76,283
77,296
78,308
79,314
80,249
81,259
82,253
83,281
84,288
85,287
86,267
87,286
88,270
89,288
90,288
91,265
92,262
93,278
94,255
95,247
96,333
97,323
98,290
99,286
100,278
101,245
102,330
103,305
104,268
105,270
106,243
107,292
108,267
109,267
110,294
111,284
112,269
113,306
114,286
115,264
116,321
117,281
118,337
119,303
120,253
121,328
122,318
123,283
124,332
125,313
126,343
127,298
128,259
129,290
130,253
131,322
132,349
133,296
134,337
135,276
136,317
137,261
138,301
139,284
140,333
141,255
142,302
143,285
144,339
145,263
146,300
147,345
148,284
149,302
150,345
151,284
152,294
153,339
154,260
155,276
156,244
157,277
158,276
159,319
160,355
161,248
162,268
163,321
164,320
165,333
166,255
167,276
168,243
169,261
170,314
171,298
172,312
173,345
174,254
175,274
176,271
177,290
178,306
179,249
180,273
181,280
182,289
183,290
184,301
185,288
186,307
187,327
188,308
189,318
190,283
191,286
192,292
193,287
194,282
195,290
196,268
197,266
198,269
199,263
200,255
201,359
