Time,com.google.protobuf.LiteralByteString Data
0,1126
1,4851
2,3267
3,3920
4,4037
5,1055
6,5273
7,4922
8,82
9,4187
10,3101
11,4029
12,1250
13,4939
14,5034
15,2399
16,5066
17,4647
18,302
19,3549
20,365
21,3124
22,5004
23,3629
24,5105
25,5843
26,5635
27,347
28,383
29,1241
30,1487
31,5871
32,1397
33,1550
34,5481
35,5340
36,4778
37,4800
38,1401
39,305
40,7126
41,3667
42,1687
43,1002
44,1693
45,159
46,6555
47,1269
48,6875
49,4865
50,5045
51,2924
52,4463
53,960
54,5993
55,5460
56,2437
57,118
58,995
59,6159
60,2186
61,3458
62,6565
63,3733
64,4634
65,1311
66,1040
67,5563
68,1676
69,1257
70,3976
71,7672
72,6591
73,1397
74,4043
75,3661
76,5491
77,8190
78,7016
79,324
80,2853
81,1341
82,3859
83,5007
84,3350
85,4394
86,5092
87,3055
88,4871
89,4389
90,2090
91,3359
92,3475
93,3031
94,347
95,9187
96,8924
97,5264
98,4340
99,4034
100,227
101,7707
102,8269
103,2991
104,2802
105,161
106,5017
107,4164
108,1899
109,5420
110,4650
111,2167
112,6251
113,4725
114,865
115,8690
116,3314
117,9625
118,7437
119,1338
120,7901
121,8844
122,3989
123,9420
124,6072
125,10338
126,5540
127,3052
128,5348
129,1323
130,7714
131,10656
132,6164
133,9538
134,2367
135,8164
136,3140
137,8056
138,9879
139,4252
140,10110
141,1556
142,5795
143,10537
144,3447
145,9736
146,3612
147,6383
148,10624
149,4933
150,6460
151,10617
152,4250
153,5488
154,10506
155,3295
156,4627
157,746
158,3949
159,4726
160,8957
161,11083
162,323
163,4164
164,6365
165,7075
166,9886
167,1470
168,4050
169,768
170,3239
171,6962
172,6240
173,8572
174,11768
175,10923
176,1470
177,3736
178,3508
179,5153
180,7639
181,764
182,2311
183,4116
184,3587
185,5348
186,6675
187,4976
188,6875
189,8815
190,6815
191,8681
192,10108
193,3482
194,5118
195,5497
196,3580
197,4810
198,5355
199,3577
200,3505
201,1764
202,1583
203,2171
204,12119
