Time,java.lang.Short Data
0,322
1,478
2,350
3,478
4,478
5,300
6,478
7,478
8,286
9,492
10,442
11,370
12,364
13,492
14,492
15,314
16,492
17,442
18,314
19,420
20,286
21,567
22,492
23,364
24,492
25,542
26,528
27,314
28,364
29,328
30,328
31,492
32,286
33,314
34,423
35,492
36,492
37,492
38,314
39,314
40,543
41,364
42,328
43,334
44,286
45,314
46,492
47,364
48,492
49,492
50,314
51,492
52,370
53,370
54,364
55,542
56,464
57,392
58,314
59,314
60,492
61,364
62,350
63,492
64,420
65,370
66,314
67,314
68,464
69,364
70,314
71,492
72,534
73,492
74,286
75,456
76,392
77,492
78,548
79,492
80,314
81,370
82,314
83,378
84,492
85,364
86,420
87,479
88,315
89,407
90,479
91,388
92,315
93,407
94,443
95,301
96,585
97,657
98,464
99,492
100,492
101,314
102,570
103,520
104,328
105,364
106,314
107,420
108,370
109,364
110,464
111,420
112,364
113,492
114,420
115,364
116,670
117,364
118,670
119,519
120,314
121,570
122,606
123,364
124,670
125,542
126,598
127,492
128,370
129,492
130,314
131,542
132,598
133,492
134,642
135,422
136,492
137,370
138,546
139,670
140,492
141,670
142,314
143,540
144,646
145,364
146,642
147,456
148,492
149,670
150,492
151,492
152,670
153,492
154,492
155,670
156,488
157,370
158,314
159,492
160,442
161,520
162,670
163,314
164,370
165,542
166,528
167,670
168,314
169,492
170,314
171,442
172,542
173,492
174,620
175,670
176,670
177,314
178,492
179,342
180,492
181,548
182,314
183,364
184,492
185,364
186,492
187,492
188,492
189,492
190,598
191,492
192,548
193,670
194,392
195,492
196,492
197,392
198,492
199,492
200,328
201,454
202,350
203,314
204,324
205,670
