Time,javax.management.ObjectName Data
0,720
1,730
2,735
3,740
4,745
5,750
6,754
7,759
8,766
9,770
10,775
11,779
12,784
13,788
14,792
15,797
16,801
17,805
18,810
19,814
20,820
21,824
22,828
23,832
24,836
25,840
26,844
27,849
28,853
29,857
30,860
31,863
32,869
33,873
34,876
35,880
36,884
37,888
38,892
39,896
40,899
41,903
42,907
43,911
44,916
45,920
46,923
47,927
48,930
49,934
50,938
51,941
52,945
53,948
54,952
55,955
56,960
57,964
58,968
59,971
60,974
61,978
62,981
63,984
64,988
65,991
66,995
67,998
68,1002
69,1006
70,1009
71,1012
72,1015
73,1018
74,1023
75,1026
76,1029
77,1032
78,1035
79,1038
80,1042
81,1045
82,1048
83,1051
84,1054
85,1057
86,1062
87,1065
88,1068
89,1071
90,1074
91,1077
92,1080
93,1083
94,1086
95,1089
96,1091
97,1094
98,1099
99,1102
100,1105
101,1108
102,1110
103,1113
104,1116
105,1119
106,1122
107,1124
108,1127
109,1130
110,1134
111,1137
112,1140
113,1142
114,1145
115,1148
116,1150
117,1153
118,1155
119,1158
120,1161
121,1163
122,1167
123,1170
124,1172
125,1175
126,1177
127,1180
128,1183
129,1185
130,1188
131,1190
132,1192
133,1195
134,1199
135,1202
136,1204
137,1207
138,1209
139,1211
140,1214
141,1216
142,1219
143,1221
144,1223
145,1226
146,1229
147,1232
148,1234
149,1236
150,1239
151,1241
152,1243
153,1246
154,1248
155,1250
156,1253
157,1255
158,1259
159,1261
160,1263
161,1265
162,1267
163,1270
164,1272
165,1274
166,1276
167,1278
168,1281
169,1283
170,1287
171,1289
172,1291
173,1293
174,1295
175,1297
176,1299
177,1302
178,1304
179,1306
180,1308
181,1310
182,1314
183,1316
184,1318
185,1320
186,1322
187,1324
188,1326
189,1328
190,1330
191,1332
192,1334
193,1336
194,1340
195,1342
196,1344
197,1346
198,1348
199,1350
200,1352
201,1354
202,1356
203,1358
204,1360
205,1361
