Time,org.apache.hadoop.hdfs.protocol.proto.HdfsProtos$ExtendedBlockProto$Builder Data
0,88
1,103
2,100
3,105
4,91
5,97
6,118
7,97
8,120
9,104
10,132
11,129
12,111
13,123
14,94
15,123
16,140
17,113
18,118
19,133
20,137
21,149
22,116
23,156
24,92
25,139
26,124
27,115
28,148
29,148
30,160
31,143
32,96
33,158
34,96
35,157
36,154
37,135
38,165
39,149
40,101
41,93
42,126
43,176
44,161
45,115
46,100
47,105
48,127
49,100
50,128
51,147
52,180
