Time,com.sun.xml.bind.v2.runtime.property.AttributeProperty Data
0,69
1,69
2,62
3,64
4,69
5,69
6,62
7,69
8,62
9,64
10,69
11,69
12,62
13,69
14,62
15,69
16,62
17,69
18,62
19,69
20,69
21,62
22,69
23,69
24,62
25,69
26,62
27,69
28,62
29,69
30,62
31,69
32,62
33,69
34,62
35,69
36,62
37,69
